gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000000457,SCYL3,cad,0.0348857534434559,0.391365938307552,3.138e-12,24.4906,6260,7.51901808347374e-09,TRUE,""
ENSG00000000938,FGR,cad,-0.0294246471394305,0.860352137057841,1.852e-06,11.1724,3025,0.00130468466423097,TRUE,""
ENSG00000000971,CFH,cad,0.0474438052327301,0.557736487733999,5.119e-06,12.7245,3956,0.00200608598790159,TRUE,""
ENSG00000001460,STPG1,cad,-0.0979943623724725,0.238568874222071,2.061e-05,10.75,3682,0.0973923457520755,TRUE,""
ENSG00000001461,NIPAL3,cad,-0.0659778635011867,0.122236355448012,2.061e-05,27.4679,3699,0.0067091660378209,TRUE,""
ENSG00000004455,AK2,cad,0.0959227556774448,0.221623602459394,7.588e-05,14.2624,3332,0.00529755719535135,TRUE,""
ENSG00000004487,KDM1A,cad,0.00300882223213378,0.969319696640591,2.061e-05,9.5573,3234,0.00373095080622472,TRUE,""
ENSG00000007341,ST7L,cad,0.00367067971324129,0.816427058747706,6.597e-07,63.3267,3211,0.00245049704388876,TRUE,""
ENSG00000007923,DNAJC11,cad,-0.176729744308143,0.457568175062507,0.0001892,5.1998,5480,0.00480416469838263,TRUE,""
ENSG00000007968,E2F2,cad,0.317458058169445,0.199485465867176,2.061e-05,7.4875,3453,0.00833452530244825,TRUE,""
ENSG00000009724,MASP2,cad,0.0270772505254809,0.821705362028574,7.382e-08,9.2907,5324,0.000160039401812684,TRUE,""
ENSG00000009780,FAM76A,cad,-0.203699041070667,0.499540019527012,1.852e-06,5.5569,2998,0.001934547310007,TRUE,""
ENSG00000009790,TRAF3IP3,cad,0.0642003780519269,0.0162385774211323,2.583e-08,37.9842,5262,0.000501742791137243,TRUE,""
ENSG00000010072,SPRTN,cad,-0.0206118937841382,0.679025635130094,2.371e-06,20.3849,5853,0.00203657342155715,TRUE,""
ENSG00000010165,METTL13,cad,0.0193999140373532,0.493387143133944,5.554e-05,56.2067,5495,0.00276153921587916,TRUE,""
ENSG00000010803,SCMH1,cad,0.205209874954422,0.000339237249301238,5.64e-05,18.6492,4305,0.611475866069804,TRUE,""
ENSG00000011007,TCEB3,cad,0.0133064736632791,0.504985075093846,2.061e-05,59.1265,3705,0.00227153812585417,TRUE,""
