gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000000419,DPM1,cad,null,-0.00390959964709676,0.972492190799539,5.444e-08,8.9917,1802,0.00693745245931015,TRUE,""
ENSG00000000457,SCYL3,fbg,grey,0.0348857534434559,0.121529125955424,4.083e-05,24.4906,2448,0.0118605943655923,TRUE,""
ENSG00000000971,CFH,t2d,grey,0.135354385516906,0.219503994929322,0.002636,12.7245,2812,0.00785288858318935,TRUE,""
ENSG00000001084,GCLC,fbg,grey,0.0388003366476784,0.222939094167741,0.009144,17.8803,2324,0.00810800988336867,TRUE,""
ENSG00000001167,NFYA,fbg,grey,0.0337441241111077,0.253097908947116,0.001061,29.4863,2307,0.0107506327641914,TRUE,""
ENSG00000001167,NFYA,t2d,null,-0.0253080930833307,0.740864559244352,2.625e-07,29.4863,3794,0.000818956914484954,TRUE,""
ENSG00000001460,STPG1,fbg,grey,-0.0519667073187354,0.274064638609823,0.000818,10.75,1322,0.00834659614844603,TRUE,""
ENSG00000001461,NIPAL3,cad,grey,-0.0659778635011867,0.122236355448012,2.061e-05,27.4679,3699,0.0067091660378209,TRUE,""
ENSG00000002016,RAD52,fbg,null,0.00935223000418801,0.75831647352629,0.003754,20.8462,1520,0.00483833575923582,TRUE,""
ENSG00000002726,ABP1,t2d,null,0.0168349918199932,0.591554054889021,6.489e-05,83.615,2360,0.00987798276328333,TRUE,""
ENSG00000002933,TMEM176A,t2d,grey,0.0431666570029576,0.157802790690306,6.489e-05,186.3215,2334,0.00987912689956251,TRUE,""
ENSG00000003056,M6PR,fbg,grey,-0.0151146615698178,0.235030456586428,0.002978,46.5121,1574,0.00967548222612516,TRUE,""
ENSG00000003137,CYP26B1,t2d,null,-0.000591180641665341,0.977632335393369,0.0001434,90.9213,2446,0.00499572254653852,TRUE,""
ENSG00000003249,DBNDD1,fbg,grey,0.0382300698552344,0.105738681329251,0.007567,55.2173,739,0.0237923234928552,TRUE,""
ENSG00000003249,DBNDD1,t2d,null,0.0382300698552344,0.502391459956463,5.251e-06,55.2173,1705,0.0102701629868307,TRUE,""
