gene_symbol,ensg,outcome,PP.H4,p_HEIDI,biotype_ok,TDL,n_known_drugs,max_clinical_phase,drug_names,known_disease_assoc
SH3BGRL3,ENSG00000142669,t2d,0.991,7.30e-02,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.204)
YTHDF2,ENSG00000198492,t2d,0.911,2.66e-01,1,Tchem(est),0,0,,type 2 diabetes mellitus (0.210)
SERBP1P3,ENSG00000242142,t2d,0.980,6.33e-02,0,,0,0,,myocardial infarction (0.004)
LRIG1,ENSG00000144749,t2d,0.922,3.94e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.276)
ARL13B,ENSG00000169379,t2d,0.935,8.89e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.074)
DCAF16,ENSG00000163257,t2d,0.839,9.55e-01,1,Tchem(est),0,0,,none_matched
LRRC37A15P,ENSG00000230069,t2d,0.981,1.93e-01,0,,0,0,,none_matched
RP11-10L12.2,ENSG00000251288,t2d,0.981,2.11e-01,0,,0,0,,none_matched
KRT8P46,ENSG00000248971,t2d,0.981,3.15e-01,0,,0,0,,none_matched
SPATA5,ENSG00000145375,t2d,0.916,2.93e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.262)
PDGFC,ENSG00000145431,t2d,0.944,4.94e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.395)
MAST4-AS1,ENSG00000229666,t2d,0.977,8.64e-01,0,,0,0,,none_matched
FAM184A,ENSG00000111879,t2d,0.900,7.20e-01,1,Tdark(est),0,0,,none_matched
MED23,ENSG00000112282,t2d,0.983,7.77e-01,1,Tchem(est),0,0,,type 2 diabetes mellitus (0.464)
ARG1,ENSG00000118520,t2d,0.998,9.70e-01,1,Tchem(est),0,0,,type 2 diabetes mellitus (0.444)
HERPUD2,ENSG00000122557,t2d,0.931,5.64e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.012)
SPDYE2,ENSG00000205238,t2d,0.963,2.45e-01,1,Tdark(est),0,0,,none_matched
ZNF34,ENSG00000196378,t2d,0.837,1.87e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.086)
ZBTB6,ENSG00000186130,t2d,0.914,2.99e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.072)
RC3H2,ENSG00000056586,t2d,0.817,2.09e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.064)
MED27,ENSG00000160563,t2d,0.926,2.40e-01,1,Tchem(est),0,0,,type 2 diabetes mellitus (0.348)
NRBF2,ENSG00000148572,t2d,0.811,7.05e-01,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.234)
RP11-464F9.1,ENSG00000242288,t2d,0.941,5.85e-01,0,,0,0,,none_matched
RP11-464F9.9,ENSG00000251582,t2d,0.905,9.38e-01,0,,0,0,,none_matched
BLOC1S2,ENSG00000196072,t2d,0.974,5.06e-01,1,Tdark(est),0,0,,none_matched
PHBP9,ENSG00000230224,t2d,0.973,2.28e-01,0,,0,0,,none_matched
PARVA,ENSG00000197702,t2d,0.894,8.08e-01,1,Tchem(est),0,0,,none_matched
KCNJ11,ENSG00000187486,t2d,0.897,1.28e-01,1,Tclin(est),15,4,GLIPIZIDE; CHLORPROPAMIDE; REPAGLINIDE; MITIGLINIDE CALCIUM DIHYDRATE; GLIMEPIRIDE; ACETOHEXAMIDE; TOLAZAMIDE; MINOXIDIL; DIAZOXIDE; NATEGLINIDE; MITIGLINIDE; TOLBUTAMIDE; GLICLAZIDE; GLYBURIDE; PINACIDIL,type 2 diabetes mellitus (0.864)
HSD17B12,ENSG00000149084,t2d,0.800,5.84e-02,1,Tdark(est),0,0,,type 2 diabetes mellitus (0.369); coronary atherosclerosis (0.236)
RP11-856B14.1,ENSG00000260233,t2d,0.977,1.39e-01,0,,0,0,,none_matched
