gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000000419,DPM1,cad,null,-0.00390959964709676,0.972492190799539,1.436e-06,8.9917,6190,0.00131273671775631,TRUE,""
ENSG00000000457,SCYL3,fbg,grey,0.0348857534434559,0.121529125955424,4.083e-05,24.4906,2448,0.0118605943655923,TRUE,""
ENSG00000000971,CFH,t2d,grey,0.135354385516906,0.219503994929322,0.002636,12.7245,2829,0.00785149444195928,TRUE,""
ENSG00000001084,GCLC,fbg,grey,0.0388003366476784,0.222939094167741,0.009144,17.8803,2324,0.00810800988336867,TRUE,""
ENSG00000001167,NFYA,fbg,grey,0.0337441241111077,0.253097908947116,0.001061,29.4863,2307,0.0107506327641914,TRUE,""
ENSG00000001167,NFYA,t2d,null,-0.0253080930833307,0.740864559244352,2.625e-07,29.4863,3812,0.000818939737153324,TRUE,""
ENSG00000001460,STPG1,fbg,grey,-0.0519667073187354,0.274064638609823,0.000818,10.75,1322,0.00834659614844603,TRUE,""
ENSG00000001461,NIPAL3,cad,grey,-0.0659778635011867,0.122236355448012,2.061e-05,27.4679,4334,0.00665693850948368,TRUE,""
ENSG00000002016,RAD52,fbg,null,0.00935223000418801,0.75831647352629,0.003754,20.8462,1520,0.00483833575923582,TRUE,""
ENSG00000002726,ABP1,t2d,null,0.0168349918199932,0.591554054889021,6.489e-05,83.615,2784,0.0098464147037024,TRUE,""
ENSG00000002933,TMEM176A,t2d,grey,0.0431666570029576,0.157802790690306,6.489e-05,186.3215,2768,0.00984842257294862,TRUE,""
ENSG00000003056,M6PR,fbg,grey,-0.0151146615698178,0.235030456586428,0.002978,46.5121,1574,0.00967548222612516,TRUE,""
ENSG00000003137,CYP26B1,t2d,null,-0.000591180641665341,0.977632335393369,0.0001434,90.9213,3002,0.00497210174659066,TRUE,""
ENSG00000003249,DBNDD1,fbg,grey,0.0382300698552344,0.105738681329251,0.007567,55.2173,739,0.0237923234928552,TRUE,""
ENSG00000003249,DBNDD1,t2d,null,0.0382300698552344,0.502391459956463,5.251e-06,55.2173,1722,0.0102692559730342,TRUE,""
ENSG00000003509,NDUFAF7,t2d,null,0.0360980474895104,0.595512889285081,8.957e-06,19.0335,4769,0.00317937176276496,TRUE,""
ENSG00000003756,RBM5,cad,grey,-0.379256509704113,0.061703404877095,6.718e-09,5.9438,2989,0.000111834419653666,TRUE,""
ENSG00000003987,MTMR7,t2d,grey,-0.530800593361153,0.104707249034368,7.963e-05,4.8037,6926,0.0249455852652074,TRUE,""
ENSG00000003987,MTMR7,fbg,grey,-0.130196371956509,0.304742757088453,0.0009851,4.8037,3276,0.00739434965671667,TRUE,""
ENSG00000004468,CD38,cad,grey,-0.185005700487652,0.244198373416383,0.0009981,8.8047,6206,0.00664261005287704,TRUE,""
ENSG00000004487,KDM1A,cad,null,0.00300882223213378,0.969319696640591,0.0001921,9.5573,4401,0.00362570143580016,TRUE,""
ENSG00000004700,RECQL,fbg,grey,0.0306328823272689,0.155301459227123,3.892e-05,31.2719,2061,0.0122942418118849,TRUE,""
ENSG00000004864,SLC25A13,fbg,null,-0.00589374333465167,0.693625785030416,0.005132,39.2185,1891,0.00415969812121906,TRUE,""
ENSG00000004866,ST7,t2d,grey,-0.19897796231236,0.338115840700236,2.704e-10,8.1406,2796,1.09306656093911e-06,TRUE,""
ENSG00000005020,SKAP2,t2d,grey,-0.0196340649417077,0.138603200410297,3.158e-06,123.0209,3822,0.00391985331669586,TRUE,""
ENSG00000005020,SKAP2,fbg,grey,0.00654468831390257,0.208368424819709,0.0005319,123.0209,2280,0.00469798480262949,TRUE,""
ENSG00000005020,SKAP2,cad,null,-0.00151031268782367,0.872318437328316,1.44e-05,123.0209,5537,0.00339872505264477,TRUE,""
ENSG00000005075,POLR2J,cad,grey,-0.057883760217117,0.248847528006784,0.0002537,52.6082,4087,0.00463976300227636,TRUE,""
ENSG00000005156,LIG3,t2d,grey,-0.0200096191882885,0.27916731988398,0.0004728,70.2762,3625,0.00614621735403791,TRUE,""
ENSG00000005156,LIG3,cad,null,-0.000253286318839095,0.984356207118252,0.000797,70.2762,5620,0.00235806511753218,TRUE,""
ENSG00000005469,CROT,cad,grey,-0.143141744962097,0.273162639025924,0.000137,21.6051,4307,0.0132841425063937,TRUE,""
ENSG00000005486,RHBDD2,t2d,null,0.000613501246175588,0.992472898813957,4.611e-05,19.4625,1105,0.00500838170876766,TRUE,""
ENSG00000005801,ZNF195,cad,null,-0.0169383587213516,0.554581334468169,3.436e-05,41.146,5453,0.00332729944045097,TRUE,""
ENSG00000005801,ZNF195,fbg,null,-0.00738338713494811,0.645904258226149,1.615e-05,41.146,1620,0.00338167954622009,TRUE,""
ENSG00000005882,PDK2,cad,null,-0.0321641684515252,0.544144693769952,1.63e-15,17.7191,4807,2.77032616040037e-12,TRUE,""
ENSG00000006007,GDE1,fbg,null,0.000310129383190987,0.986702539612635,0.001258,58.0752,1529,0.00724560963329973,TRUE,""
ENSG00000006047,YBX2,fbg,null,0.0246914423213219,0.593802857207703,0.001727,16.5662,1455,0.00603075384994587,TRUE,""
ENSG00000006194,ZNF263,fbg,grey,-0.0534100703512784,0.219232533281333,0.0001091,14.3046,1132,0.00837469892889663,TRUE,""
ENSG00000006459,JHDM1D,t2d,null,0.0102153758206361,0.889260100828208,2.611e-05,15.3206,2327,0.00286928841752886,TRUE,""
ENSG00000006534,ALDH3B1,fbg,grey,0.0229935701563653,0.46845203042539,0.001034,22.4494,957,0.00588044194404987,TRUE,""
ENSG00000006625,GGCT,t2d,grey,0.0355992581420328,0.393012649581705,2.569e-07,40.648,4016,0.00125864258488552,TRUE,""
ENSG00000006625,GGCT,fbg,null,-0.00651205941622551,0.733172020793637,1.153e-05,40.648,2025,0.0047610873977333,TRUE,""
ENSG00000006634,DBF4,t2d,null,0.17710187253184,0.79530042838568,0.001889,5.2403,3474,0.00937975108695112,TRUE,""
ENSG00000006638,TBXA2R,fbg,grey,-0.099700009484913,0.397977916537113,0.0019,11.0303,1115,0.0122967786532575,TRUE,""
ENSG00000007047,MARK4,t2d,grey,-0.0285783801809926,0.385684608293062,3.114e-16,44.6679,2125,4.90364182103516e-12,TRUE,""
ENSG00000007080,CCDC124,fbg,null,-0.00439356513203494,0.920344325445942,0.001792,13.9669,1155,0.00461139061036409,TRUE,""
ENSG00000007168,PAFAH1B1,t2d,null,-0.0514665605719992,0.51290502708145,0.0005652,16.6276,2731,0.0046483836798965,TRUE,""
ENSG00000007171,NOS2,cad,null,-0.0262981858067601,0.700522394103849,6.845e-06,16.2681,3429,0.00226019694278802,TRUE,""
ENSG00000007255,TRAPPC6A,fbg,grey,-0.0287631509687448,0.232304160207264,2.253e-05,26.5621,1240,0.00722263658607394,TRUE,""
ENSG00000007372,PAX6,t2d,grey,-0.2488142016734,0.0596845297010008,7.82e-06,10.254,2961,0.00904089395634904,TRUE,""
ENSG00000007516,BAIAP3,fbg,grey,0.0306469765337097,0.0824150447448035,0.0009201,33.3565,1219,0.0189898978044393,TRUE,""
ENSG00000007520,TSR3,cad,null,0.030290988518406,0.869782765494109,1.83e-07,13.1215,5972,0.000708193143451582,TRUE,""
ENSG00000007944,MYLIP,fbg,grey,-0.0302564080213041,0.47015786285767,0.0004179,22.9439,2231,0.00816911546851333,TRUE,""
ENSG00000008018,PSMB1,t2d,null,-0.0224726804284572,0.52379920995388,0.01388,43.6799,1802,0.00439981795976546,TRUE,""
ENSG00000008083,JARID2,t2d,grey,0.0855352679164753,0.0570855947221965,4.025e-06,44.6729,4033,0.0153900743592247,TRUE,""
ENSG00000008226,DLEC1,t2d,null,-0.0601792809612515,0.591554054889021,0.005872,12.9467,3287,0.00450255818220775,TRUE,""
ENSG00000008282,SYPL1,t2d,grey,-0.139776668676268,0.339296824849853,0.0004314,10.8944,3585,0.00656794654131225,TRUE,""
ENSG00000008294,SPAG9,fbg,grey,0.0545839150052898,0.446541183638091,0.0001433,16.5447,1667,0.00969870075238496,TRUE,""
ENSG00000008394,MGST1,t2d,null,-0.0136497402780867,0.906057815046055,0.0005425,24.7739,2646,0.00753223619144245,TRUE,""
ENSG00000008405,CRY1,t2d,grey,-0.126503544529369,0.160002458706997,0.0009164,15.5657,3777,0.0113607859528184,TRUE,""
ENSG00000008517,IL32,fbg,null,0.00516180683986425,0.647568367631056,0.0001091,48.5186,1004,0.00402167877165454,TRUE,""
ENSG00000008735,MAPK8IP2,fbg,grey,0.0738040178269631,0.179029242883863,0.0007649,7.422,732,0.00916621764246292,TRUE,""
ENSG00000008838,MED24,fbg,grey,0.062016749435143,0.4787382817329,0.0003171,19.517,1134,0.0110197916646645,TRUE,""
ENSG00000008869,HEATR5B,fbg,null,-0.00168666348647999,0.961094232136074,8.848e-05,19.1439,2482,0.00451632564289923,TRUE,""
ENSG00000008988,RPS20,cad,null,-0.232834451131643,0.624851053332095,7.394e-06,7.4488,5927,0.0104206011389529,TRUE,""
