set,source,term_id,term_name,p_value_gSCS,query_size,term_size,n_intersect,genes
coding56,GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,0.35137921026194263,48,3954,20,EIF2B2;FAM184A;GIT1;HSD17B12;KDM5A;LIPA;LRRC41;MLH3;NRBF2;NTAN1;PGAP3;RC3H2;SAP130;SNX16;SPDYE2;THAP8;YTHDF2;ZBTB6;ZNF268;ZNF34
coding56,GO:MF,GO:0003713,transcription coactivator activity,0.3598158967201277,50,282,5,EIF2B2;FAM184A;HSD17B12;PGAP3;RC3H2
coding56,GO:BP,GO:0006639,acylglycerol metabolic process,0.36880948099746347,48,131,4,CDC123;DGKQ;EIF2B2;SAP130
coding56,GO:BP,GO:0006638,neutral lipid metabolic process,0.3796989399218752,48,132,4,CDC123;DGKQ;EIF2B2;SAP130
coding56,GO:BP,GO:0051252,regulation of RNA metabolic process,0.3845966419105674,48,3654,19,EIF2B2;FAM184A;GIT1;HSD17B12;KDM5A;LIPA;LRRC41;MLH3;NRBF2;PGAP3;RC3H2;SAP130;SNX16;SPDYE2;THAP8;YTHDF2;ZBTB6;ZNF268;ZNF34
coding56,GO:BP,GO:0050852,T cell receptor signaling pathway,0.515277441855515,48,143,4,CDC123;SIK2;TMEM136;ZBTB6
coding56,GO:BP,GO:0080090,regulation of primary metabolic process,0.7280918071641563,48,5215,23,DGKQ;EIF2B2;FAM184A;GIT1;HERPUD2;HSD17B12;KDM5A;LIPA;LRRC41;MLH3;NRBF2;NTAN1;PGAP3;RC3H2;SAP130;SIK2;SNX16;SPDYE2;THAP8;YTHDF2;ZBTB6;ZNF268;ZNF34
coding56,KEGG,KEGG:00561,Glycerolipid metabolism,0.8095568953659356,23,64,2,EIF2B2;SAP130
coding56,REAC,REAC:R-HSA-114508,Effects of PIP2 hydrolysis,0.9261693972920363,32,27,2,DGKQ;SAP130
coding56,GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.9516781309279005,48,1804,12,EIF2B2;FAM184A;HSD17B12;KDM5A;LIPA;LRRC41;NRBF2;PGAP3;RC3H2;SNX16;YTHDF2;ZBTB6
coding56,GO:MF,GO:0003712,transcription coregulator activity,0.9627259098567488,50,521,6,EIF2B2;FAM184A;HSD17B12;KDM5A;PGAP3;RC3H2
coding56,GO:MF,GO:0005515,protein binding,0.9761085229148216,50,15082,46,ARG1;ARL13B;BLOC1S2;BMPR1A;C18orf8;C6orf106;CHD4;DAGLB;DCAF16;DGKQ;DUSP13;FAM184A;FCHO1;GIT1;HERPUD2;HMBS;HSD17B12;KCNJ11;KDM5A;LIPA;LOXL4;LRIG1;LRRC41;MED23;MED27;MLH3;NRBF2;NTAN1;PARVA;PDGFC;PGAP3;PTPRN;RC3H2;SAP130;SH3BGRL3;SIK2;SNX16;SPATA5;SPDYE2;TMEM136;TSPAN14;WDR17;YTHDF2;ZNF236;ZNF34;ZNF430
coding56,REAC,REAC:R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,1.0,32,83,2,FAM184A;RC3H2
coding56,REAC,REAC:R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,1.0,32,30,1,KDM5A
coding56,REAC,REAC:R-HSA-9843743,Transcriptional regulation of brown and beige adipocyte differentiation,1.0,32,30,1,KDM5A
coding56,REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,1.0,32,356,1,KDM5A
coding56,REAC,REAC:R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,1.0,32,24,1,KCNJ11
coding56,REAC,REAC:R-HSA-1483213,Synthesis of PE,1.0,32,13,1,EIF2B2
coding56,REAC,REAC:R-HSA-1483191,Synthesis of PC,1.0,32,28,1,EIF2B2
coding56,REAC,REAC:R-HSA-9006936,Signaling by TGFB family members,1.0,32,156,1,SNX16
coding56,REAC,REAC:R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",1.0,32,716,3,ARL13B;NTAN1;ZNF236
coding56,REAC,REAC:R-HSA-194315,Signaling by Rho GTPases,1.0,32,701,2,ARL13B;NTAN1
coding56,REAC,REAC:R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,1.0,32,516,2,KDM5A;LRIG1
coding56,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,1.0,32,289,1,PGAP3
coding56,REAC,REAC:R-HSA-166520,Signaling by NTRKs,1.0,32,130,1,KDM5A
coding56,REAC,REAC:R-HSA-187037,Signaling by NTRK1 (TRKA),1.0,32,111,1,KDM5A
coding56,REAC,REAC:R-HSA-6806834,Signaling by MET,1.0,32,76,1,LRIG1
coding56,REAC,REAC:R-HSA-372790,Signaling by GPCR,1.0,32,695,2,DGKQ;SAP130
coding56,GO:MF,GO:0003677,DNA binding,1.0,50,2540,11,C18orf8;GIT1;HSD17B12;KDM5A;LIPA;LOXL4;PGAP3;SPDYE2;ZBTB6;ZNF268;ZNF34
coding56,GO:MF,GO:0003676,nucleic acid binding,1.0,50,5437,14,C18orf8;FCHO1;GIT1;HSD17B12;KDM5A;LIPA;LOXL4;MLH3;PGAP3;SPDYE2;YTHDF2;ZBTB6;ZNF268;ZNF34
coding56,GO:MF,GO:0003674,molecular_function,1.0,50,20208,50,ARG1;ARL13B;BLOC1S2;BMPR1A;C18orf8;C6orf106;CDC123;CHD4;DAGLB;DCAF16;DGKQ;DUSP13;EIF2B2;FAM184A;FCHO1;GIT1;HERPUD2;HMBS;HSD17B12;KCNJ11;KDM5A;LIPA;LOXL4;LRIG1;LRRC41;MED23;MED27;MLH3;NRBF2;NTAN1;PARVA;PDGFC;PGAP3;PTPRN;RC3H2;SAP130;SH3BGRL3;SIK2;SNX16;SPATA5;SPDYE2;TMEM136;TSPAN14;WDR17;YTHDF2;ZBTB6;ZNF236;ZNF268;ZNF34;ZNF430
coding56,GO:MF,GO:0001968,fibronectin binding,1.0,50,30,1,KCNJ11
coding56,GO:MF,GO:0001727,lipid kinase activity,1.0,50,41,1,SAP130
coding56,GO:MF,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",1.0,50,267,1,ZNF34
coding56,GO:MF,GO:0001221,transcription coregulator binding,1.0,50,115,1,KDM5A
coding56,GO:MF,GO:0001217,DNA-binding transcription repressor activity,1.0,50,278,1,ZNF34
coding56,GO:MF,GO:0001067,transcription regulatory region nucleic acid binding,1.0,50,1414,6,GIT1;HSD17B12;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000987,cis-regulatory region sequence-specific DNA binding,1.0,50,1131,5,GIT1;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.0,50,1309,4,GIT1;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1.0,50,1105,5,GIT1;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1.0,50,1310,5,GIT1;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000976,transcription cis-regulatory region binding,1.0,50,1413,6,GIT1;HSD17B12;PGAP3;SPDYE2;ZNF268;ZNF34
coding56,GO:MF,GO:0000287,magnesium ion binding,1.0,50,233,2,C6orf106;TSPAN14
coding56,REAC,REAC:R-HSA-72766,Translation,1.0,32,292,1,SIK2
coding56,GO:MF,GO:0004725,protein tyrosine phosphatase activity,1.0,50,100,1,LRRC41
coding56,GO:MF,GO:0004721,phosphoprotein phosphatase activity,1.0,50,181,1,LRRC41
coding56,GO:MF,GO:0004720,protein-lysine 6-oxidase activity,1.0,50,5,1,DUSP13
coding56,GO:MF,GO:0004711,ribosomal protein S6 kinase activity,1.0,50,244,1,TSPAN14
coding56,GO:MF,GO:0004697,diacylglycerol-dependent serine/threonine kinase activity,1.0,50,17,1,SAP130
coding56,GO:MF,GO:0004694,eukaryotic translation initiation factor 2alpha kinase activity,1.0,50,244,1,TSPAN14
coding56,GO:MF,GO:0004679,AMP-activated protein kinase activity,1.0,50,247,1,TSPAN14
coding56,GO:MF,GO:0004677,DNA-dependent protein kinase activity,1.0,50,245,1,TSPAN14
coding56,GO:MF,GO:0004676,3-phosphoinositide-dependent protein kinase activity,1.0,50,244,1,TSPAN14
coding56,GO:MF,GO:0004675,transmembrane receptor protein serine/threonine kinase activity,1.0,50,18,1,SNX16
coding56,GO:MF,GO:0004674,protein serine/threonine kinase activity,1.0,50,440,3,SAP130;SNX16;TSPAN14
coding56,GO:MF,GO:0004672,protein kinase activity,1.0,50,589,3,SAP130;SNX16;TSPAN14
coding56,GO:MF,GO:0004418,hydroxymethylbilane synthase activity,1.0,50,1,1,BMPR1A
coding56,GO:MF,GO:0004386,helicase activity,1.0,50,162,1,KDM5A
coding56,GO:MF,GO:0004303,estradiol 17-beta-dehydrogenase [NAD(P)+] activity,1.0,50,20,1,KCNJ11
coding56,GO:MF,GO:0004143,ATP-dependent diacylglycerol kinase activity,1.0,50,11,1,SAP130
coding56,GO:MF,GO:0005242,inward rectifier potassium channel activity,1.0,50,28,1,PARVA
coding56,GO:MF,GO:0005216,monoatomic ion channel activity,1.0,50,449,1,PARVA
coding56,GO:MF,GO:0005215,transporter activity,1.0,50,1256,1,PARVA
coding56,GO:MF,GO:0005161,platelet-derived growth factor receptor binding,1.0,50,14,1,SPATA5
coding56,GO:MF,GO:0005102,signaling receptor binding,1.0,50,1346,3,PGAP3;SAP130;SPATA5
coding56,GO:MF,GO:0005096,GTPase activator activity,1.0,50,275,1,NTAN1
coding56,GO:MF,GO:0005085,guanyl-nucleotide exchange factor activity,1.0,50,238,1,SIK2
coding56,GO:MF,GO:0005026,"transforming growth factor beta receptor activity, type II",1.0,50,12,1,SNX16
coding56,GO:MF,GO:0005025,"transforming growth factor beta receptor activity, type I",1.0,50,12,1,SNX16
coding56,GO:MF,GO:0005024,transforming growth factor beta receptor activity,1.0,50,16,1,SNX16
coding56,GO:MF,GO:0004888,transmembrane signaling receptor activity,1.0,50,1283,1,SNX16
coding56,GO:MF,GO:0004860,protein kinase inhibitor activity,1.0,50,87,1,BLOC1S2
coding56,GO:MF,GO:0004857,enzyme inhibitor activity,1.0,50,428,2,BLOC1S2;HSD17B12
coding56,GO:MF,GO:0004842,ubiquitin-protein transferase activity,1.0,50,448,1,ZBTB6
coding56,GO:MF,GO:0004806,triacylglycerol lipase activity,1.0,50,24,1,DGKQ
coding56,GO:MF,GO:0004771,sterol ester esterase activity,1.0,50,8,1,CDC123
coding56,GO:MF,GO:0008094,"ATP-dependent activity, acting on DNA",1.0,50,120,2,KDM5A;LOXL4
coding56,GO:MF,GO:0008092,cytoskeletal protein binding,1.0,50,996,5,BLOC1S2;LRRC41;NRBF2;NTAN1;PARVA
coding56,GO:MF,GO:0008083,growth factor activity,1.0,50,162,1,SPATA5
coding56,GO:MF,GO:0008047,enzyme activator activity,1.0,50,632,2,NTAN1;SAP130
coding56,GO:MF,GO:0005543,phospholipid binding,1.0,50,489,1,WDR17
coding56,GO:MF,GO:0005539,glycosaminoglycan binding,1.0,50,243,1,KCNJ11
coding56,GO:MF,GO:0005525,GTP binding,1.0,50,388,2,ARL13B;SIK2
coding56,GO:MF,GO:0005524,ATP binding,1.0,50,1504,8,C6orf106;KDM5A;LOXL4;PARVA;SAP130;SIK2;SNX16;TSPAN14
coding56,GO:MF,GO:0005518,collagen binding,1.0,50,72,1,KCNJ11
coding56,GO:MF,GO:0005507,copper ion binding,1.0,50,60,1,DUSP13
coding56,GO:MF,GO:0005488,binding,1.0,50,18447,48,ARG1;ARL13B;BLOC1S2;BMPR1A;C18orf8;C6orf106;CHD4;DAGLB;DCAF16;DGKQ;DUSP13;FAM184A;FCHO1;GIT1;HERPUD2;HMBS;HSD17B12;KCNJ11;KDM5A;LIPA;LOXL4;LRIG1;LRRC41;MED23;MED27;MLH3;NRBF2;NTAN1;PARVA;PDGFC;PGAP3;PTPRN;RC3H2;SAP130;SH3BGRL3;SIK2;SNX16;SPATA5;SPDYE2;TMEM136;TSPAN14;WDR17;YTHDF2;ZBTB6;ZNF236;ZNF268;ZNF34;ZNF430
coding56,GO:MF,GO:0005267,potassium channel activity,1.0,50,126,1,PARVA
coding56,GO:MF,GO:0005261,monoatomic cation channel activity,1.0,50,343,1,PARVA
coding56,GO:MF,GO:0005249,voltage-gated potassium channel activity,1.0,50,99,1,PARVA
coding56,GO:MF,GO:0005244,voltage-gated monoatomic ion channel activity,1.0,50,173,1,PARVA
coding56,GO:MF,GO:0016229,steroid dehydrogenase activity,1.0,50,37,1,KCNJ11
coding56,GO:MF,GO:0015631,tubulin binding,1.0,50,389,2,NRBF2;NTAN1
coding56,GO:MF,GO:0015399,primary active transmembrane transporter activity,1.0,50,166,1,PARVA
coding56,GO:MF,GO:0015276,ligand-gated monoatomic ion channel activity,1.0,50,187,1,PARVA
coding56,GO:MF,GO:0015272,ATP-activated inward rectifier potassium channel activity,1.0,50,6,1,PARVA
coding56,GO:MF,GO:0015267,channel activity,1.0,50,512,1,PARVA
coding56,GO:MF,GO:0015079,potassium ion transmembrane transporter activity,1.0,50,163,1,PARVA
coding56,GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,1.0,50,770,1,PARVA
coding56,GO:MF,GO:0009378,four-way junction helicase activity,1.0,50,52,1,KDM5A
coding56,GO:MF,GO:0008418,protein-N-terminal asparagine amidohydrolase activity,1.0,50,2,1,CHD4
coding56,GO:MF,GO:0008324,monoatomic cation transmembrane transporter activity,1.0,50,656,1,PARVA
coding56,GO:MF,GO:0008289,lipid binding,1.0,50,854,1,WDR17
coding56,GO:MF,GO:0008270,zinc ion binding,1.0,50,2168,11,C18orf8;GIT1;HSD17B12;KDM5A;LIPA;NTAN1;SAP130;SPDYE2;ZBTB6;ZNF268;ZNF34
coding56,GO:MF,GO:0008201,heparin binding,1.0,50,171,1,KCNJ11
coding56,GO:MF,GO:0008195,phosphatidate phosphatase activity,1.0,50,14,1,EIF2B2
coding56,GO:MF,GO:0008134,transcription factor binding,1.0,50,597,4,KDM5A;LRRC41;PGAP3;SAP130
coding56,GO:MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",1.0,50,62,1,BMPR1A
coding56,GO:MF,GO:0016755,aminoacyltransferase activity,1.0,50,496,1,ZBTB6
coding56,GO:MF,GO:0016746,acyltransferase activity,1.0,50,731,1,ZBTB6
coding56,GO:MF,GO:0016740,transferase activity,1.0,50,2331,5,BMPR1A;SAP130;SNX16;TSPAN14;ZBTB6
coding56,GO:MF,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,1.0,50,60,1,HSD17B12
coding56,GO:MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",1.0,50,178,1,HSD17B12
coding56,GO:MF,GO:0016641,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",1.0,50,16,1,DUSP13
coding56,GO:MF,GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",1.0,50,20,1,DUSP13
coding56,GO:MF,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",1.0,50,120,1,KCNJ11
coding56,GO:MF,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",1.0,50,130,1,KCNJ11
coding56,GO:MF,GO:0016491,oxidoreductase activity,1.0,50,695,3,DUSP13;HSD17B12;KCNJ11
coding56,GO:MF,GO:0016462,pyrophosphatase activity,1.0,50,803,3,ARL13B;KDM5A;LOXL4
coding56,GO:MF,GO:0016362,"activin receptor activity, type II",1.0,50,12,1,SNX16
coding56,GO:MF,GO:0016361,"activin receptor activity, type I",1.0,50,12,1,SNX16
coding56,GO:MF,GO:0016301,kinase activity,1.0,50,781,3,SAP130;SNX16;TSPAN14
coding56,GO:MF,GO:0016298,lipase activity,1.0,50,133,2,CDC123;DGKQ
coding56,GO:MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,1.0,50,742,3,ARL13B;KDM5A;LOXL4
coding56,GO:MF,GO:0017076,purine nucleotide binding,1.0,50,1997,9,ARL13B;C6orf106;KDM5A;LOXL4;PARVA;SAP130;SIK2;SNX16;TSPAN14
coding56,GO:MF,GO:0017002,activin receptor activity,1.0,50,12,1,SNX16
coding56,GO:MF,GO:0016922,nuclear receptor binding,1.0,50,136,1,PGAP3
coding56,GO:MF,GO:0016887,ATP hydrolysis activity,1.0,50,412,2,KDM5A;LOXL4
coding56,GO:MF,GO:0016853,isomerase activity,1.0,50,459,1,KDM5A
coding56,GO:MF,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",1.0,50,804,3,ARL13B;KDM5A;LOXL4
coding56,GO:MF,GO:0016817,"hydrolase activity, acting on acid anhydrides",1.0,50,804,3,ARL13B;KDM5A;LOXL4
coding56,GO:MF,GO:0016813,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",1.0,50,11,1,MED23
coding56,GO:MF,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",1.0,50,68,1,CHD4
coding56,GO:MF,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",1.0,50,132,2,CHD4;MED23
coding56,GO:MF,GO:0016791,phosphatase activity,1.0,50,281,2,EIF2B2;LRRC41
coding56,GO:MF,GO:0016788,"hydrolase activity, acting on ester bonds",1.0,50,720,5,CDC123;DGKQ;EIF2B2;HMBS;LRRC41
coding56,GO:MF,GO:0016787,hydrolase activity,1.0,50,2442,10,ARL13B;CDC123;CHD4;DGKQ;EIF2B2;HMBS;KDM5A;LOXL4;LRRC41;MED23
coding56,GO:MF,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",1.0,50,700,3,SAP130;SNX16;TSPAN14
coding56,GO:MF,GO:0016772,"transferase activity, transferring phosphorus-containing groups",1.0,50,948,3,SAP130;SNX16;TSPAN14
coding56,GO:MF,GO:0022803,passive transmembrane transporter activity,1.0,50,512,1,PARVA
coding56,GO:MF,GO:0019955,cytokine binding,1.0,50,148,1,SNX16
coding56,GO:MF,GO:0019901,protein kinase binding,1.0,50,680,2,HERPUD2;SAP130
