coding_gene,in_ukbpp,outcome,pp_h4
ANKS1A,False,t2d,0.8935332822457
ARG1,True,t2d,0.998466865293651
ARHGAP19,False,t2d,0.839294639172335
ARL13B,True,t2d,0.935442298629427
BBIP1,False,t2d,0.853468938885073
BLOC1S2,True,t2d,0.973617613057999
BMPR1A,False,cad,0.909761693477387
C15orf62,False,cad,0.809719023774493
C18orf8,False,t2d,0.988627669745569
C6orf106,False,cad,0.894115644262981
CADM4,False,cad,0.995684672419698
CAMK1D,False,t2d,0.9996531860928
CDC123,True,cad,0.917774247428539
CHD4,False,t2d,0.963192794374054
DAGLB,False,cad,0.963521272162061
DCAF16,False,t2d,0.83892141295213
DGKQ,False,cad,0.818021237058054
DUSP13,True,cad,0.872879144250486
EIF2B2,False,cad,0.96092281304837
EIF5A2,False,t2d,0.824313108247966
FAM184A,False,t2d,0.900030148999246
FASTKD5,False,cad,0.903698834280561
FBXW7,False,t2d,0.924611236013898
FCHO1,False,cad,0.953262705133287
GIGYF1,False,t2d,0.998349762147204
GIT1,True,t2d,0.893666795884946
HERPUD2,False,t2d,0.93119066276845
HMBS,True,cad,0.886141680923424
HOXC4,False,cad,0.934922048754275
HSD17B12,False,t2d,0.800204188355584
ISCA1,False,fbg,0.919356981115333
KCNJ11,False,t2d,0.896540971188041
KDM5A,False,t2d,0.816740225694258
KIF11,False,t2d,0.882591554243968
LDLRAD2,False,cad,0.823262921141715
LIPA,False,cad,0.998932758088505
LOXL4,False,cad,0.944391116585441
LPIN3,False,cad,0.95620440896145
LRIG1,True,t2d,0.922057550649883
LRRC41,False,cad,0.909483076324573
MED23,False,t2d,0.982610204476408
MED27,False,t2d,0.926102331834865
MLH3,False,cad,0.874624754952309
MTCH2,False,cad,0.902287924015749
MYB,False,cad,0.812564047232375
NRBF2,False,t2d,0.811401104931589
NRIP1,False,cad,0.998005335164654
NTAN1,False,t2d,0.814925986106974
NUDT5,True,t2d,0.999653186092686
PARVA,False,t2d,0.89410643966769
PDGFC,True,t2d,0.943693907632831
PGAP3,False,cad,0.890020029782919
PTPRN,False,cad,0.944339625573639
RASD1,False,cad,0.98599491492195
RC3H2,False,t2d,0.817415181215947
RFT1,False,t2d,0.987587386106579
RRN3,False,t2d,0.923805536292926
SAP130,False,cad,0.82152618661109
SH3BGRL3,False,t2d,0.991344131888493
SIK2,False,cad,0.856181632187796
SLC43A3,False,t2d,0.808063064750858
SNX16,False,cad,0.87381104158605
SPATA5,False,t2d,0.915979967524608
SPDYE2,False,t2d,0.963073941110323
STRADA,False,t2d,0.846610825514875
THAP8,False,t2d,0.950912141070469
THOC5,False,cad,0.9227176976172
TMEM136,False,cad,0.866319231849221
TSPAN14,False,cad,0.995904563349378
WDR17,False,cad,0.880246872223885
YTHDF2,False,t2d,0.910657101380508
ZBTB6,False,t2d,0.913584973669545
ZNF236,False,t2d,0.935529413476269
ZNF268,False,cad,0.867457634253687
ZNF34,False,t2d,0.837476902458287
ZNF430,False,cad,0.811586798031648
