gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note_x,padj,strong,is_new,tier,catalog_gene_t2dcad,nearest_cat_kb,top_snp,direction,gtex_p,variant_replicated,mr_replicated,finn_p,note_y
ENSG00000134256,CD101,t2d,0.132574119576048,0.0001163658554592,2.471e-08,58.4668,2916.0,0.94884375983226,True,,0.006515209160050812,True,True,known_locus_100kb_novel_gene,False,12.9,,no_gtex_gwas_variant,2.70522e-43,,yes,0.00115258,
ENSG00000135974,C2orf49,t2d,0.993379810487888,1.90172751687517e-07,1.219e-07,7.2014,4423.0,0.980172561304731,True,,5.0996324728836795e-05,True,True,known_locus_250kb_novel_gene,False,122.1,,consistent,3.55542e-06,yes,yes,0.135822,
ENSG00000004534,RBM6,t2d,-0.0577133415258059,1.02183794615947e-05,9.597e-07,101.8767,1689.0,0.944783239528696,True,,0.0011442339199302198,True,True,known_locus_100kb_novel_gene,False,61.9,,consistent,1.03317e-130,yes,yes,6.91226e-06,
ENSG00000163815,CLEC3B,t2d,0.111929641906865,0.0001319529291076,5.068e-05,47.3822,3578.0,0.833833762129008,True,,0.0071521295085449155,True,True,no_catalog_t2dcad,False,,,no_gtex_gwas_variant,1.43577e-11,,,,
ENSG00000249915,PDCD6,t2d,0.252503382719474,3.11056024514747e-05,1.64e-05,27.9517,1282.0,0.842272690870712,True,,0.0024571014649653273,True,True,no_catalog_t2dcad,False,,,no_gtex_gwas_variant,1.10092e-15,yes,yes,0.246888,
ENSG00000095485,CWF19L1,t2d,-0.0796943702644714,0.0003150936635397,1.232e-09,86.5516,3228.0,0.960013578606752,True,,0.013839674273575615,True,True,known_locus_100kb_novel_gene,False,1.5,,consistent,8.77121e-88,,,,
ENSG00000252118,U6atac,t2d,0.816398006299582,1.70637513329084e-11,1.966e-17,4.843,4152.0,0.957066021312353,True,,1.4489968840194715e-08,True,True,known_locus_100kb_novel_gene,False,25.1,,no_gtex_gwas_variant,,,,,
ENSG00000158710,TAGLN2,cad,0.141037002437856,2.62947160278819e-05,2.348e-05,31.0058,5466.0,0.946476746550235,True,,0.0020306440435637505,True,True,no_catalog_t2dcad,False,,,no_gtex_gwas_variant,1.92227e-09,yes,yes,0.158061,
ENSG00000213085,CCDC19,cad,0.222313298523997,2.6294716027882e-05,2.348e-05,17.9384,5507.0,0.946245942458657,True,,0.0020306440435637505,True,True,no_catalog_t2dcad,False,,,no_gtex_gwas_variant,,yes,yes,0.158061,
ENSG00000243284,VSIG8,cad,0.367374619378322,2.62947160278819e-05,2.348e-05,10.9416,5560.0,0.916242256890915,True,,0.0020306440435637505,True,True,no_catalog_t2dcad,False,,,conflicting,1.20776e-20,yes,yes,0.158061,
ENSG00000148842,CNNM2,cad,1.88622481195701,9.85010679950938e-15,4.67e-15,6.1715,4329.0,0.936554980592514,True,,2.8906123413840226e-11,True,True,known_locus_100kb_novel_gene,False,11.2,,no_gtex_gwas_variant,1.24031e-21,yes,yes,0.000631001,
ENSG00000177963,RIC8A,cad,-0.168175197002956,4.87503845110966e-05,8.347e-06,27.9039,3064.0,0.889472442278656,True,,0.0033403593926131774,True,True,known_locus_100kb_novel_gene,False,8.1,,consistent,3.44298e-27,yes,yes,0.0113776,
ENSG00000244754,N4BP2L2,cad,-0.117451024645651,1.1770927027888501e-09,1.189e-10,44.3887,5256.0,0.923656725402997,True,,4.667967899465081e-07,True,True,known_locus_100kb_novel_gene,False,1.4,,consistent,2.04861e-07,,,,
ENSG00000070915,SLC12A3,cad,0.524902262858856,1.9731752900754102e-09,1.194e-09,8.363,6424.0,0.993721390369186,True,,7.423692572122178e-07,True,True,known_locus_100kb_novel_gene,False,62.6,,consistent,5.8112e-06,,,,
ENSG00000011422,PLAUR,cad,0.610120453481186,2.00478689359048e-06,1.808e-06,11.5325,5819.0,0.99567426748846,True,,0.0002603206910588771,True,True,no_catalog_t2dcad,False,,,no_gtex_gwas_variant,7.54798e-06,,,,
