gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000000457,SCYL3,fbg,0.0348857534434559,0.121529125955424,4.083e-05,24.4906,2448,0.0118605943655923,TRUE,""
ENSG00000001460,STPG1,fbg,-0.0519667073187354,0.274064638609823,0.000818,10.75,1322,0.00834659614844603,TRUE,""
ENSG00000007923,DNAJC11,fbg,0.275290563249223,0.0537840888623983,0.003485,5.1998,1733,0.0166106049734547,TRUE,""
ENSG00000009780,FAM76A,fbg,0.0618832529834937,0.796357116257739,1.967e-05,5.5569,732,0.0113685025764984,TRUE,""
ENSG00000009790,TRAF3IP3,fbg,0.0304600333823011,0.0488731104972685,0.0002072,37.9842,2101,0.0263992115172315,TRUE,""
ENSG00000010165,METTL13,fbg,0.00620797249195302,0.893929766752772,0.0009163,56.2067,1848,0.00417544489305858,TRUE,""
ENSG00000011007,TCEB3,fbg,-0.0185590290566788,0.0873255405560041,0.000818,59.1265,1224,0.00644087563053552,TRUE,""
ENSG00000023902,PLEKHO1,fbg,-0.0648548844183607,0.226402697791137,0.001744,18.5847,584,0.0155918301974608,TRUE,""
ENSG00000026751,SLAMF7,fbg,0.0359503064747188,0.282374728330258,0.000783,21.2905,1690,0.00809844061671072,TRUE,""
ENSG00000027869,SH2D2A,fbg,0.317884895966638,0.0488731104972685,0.001098,7.2028,1692,0.0494461918478117,TRUE,""
ENSG00000028137,TNFRSF1B,fbg,-0.0354414146053528,0.317310507862914,0.002302,18.4831,1103,0.00714008559279245,TRUE,""
ENSG00000036549,ZZZ3,fbg,0.0503538265699462,0.228153812895039,0.0002061,16.6021,1658,0.00903188304584485,TRUE,""
ENSG00000037637,FBXO42,fbg,0.0388540163191467,0.567709166197353,0.003642,10.9266,1146,0.00535180321503655,TRUE,""
ENSG00000041988,THAP3,fbg,0.0103718637265192,0.808451451773901,0.003485,7.3579,1777,0.00408574390167963,TRUE,""
ENSG00000047410,TPR,fbg,0.0250014414748283,0.393294214421889,0.0002101,24.8733,1507,0.00776576034210151,TRUE,""
ENSG00000049247,UTS2,fbg,-0.0446864397077141,0.281514632510023,0.0001882,51.1912,1673,0.026138497283295,TRUE,""
ENSG00000052723,SIKE1,fbg,0.0535806006945279,0.57268433313998,0.0006516,7.3085,1798,0.00542231564211712,TRUE,""
ENSG00000053371,AKR7A2,fbg,-0.0159292625345125,0.49924658287522,0.001418,27.7489,2030,0.00551916896122825,TRUE,""
ENSG00000054118,THRAP3,fbg,-0.036328552722101,0.898724545227828,0.0008783,12.5034,1187,0.0251586092183335,TRUE,""
ENSG00000054277,OPN3,fbg,0.00754268409852443,0.855725415320072,0.0007871,42.2844,2204,0.00413013336580669,TRUE,""
ENSG00000057252,SOAT1,fbg,0.0105940432814133,0.689156516779352,0.0003106,44.9667,1811,0.00577951475564971,TRUE,""
ENSG00000057757,PITHD1,fbg,-0.340193007612663,0.0488731104972685,0.000818,6.0392,1206,0.0487798467818748,TRUE,""
