gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,strong
ENSG00000014914,MTMR11,t2d,-0.491316218894006,0.0010882173049342,0.03339949433404945,9.493e-06,17.2695,1337.0,0.439640383497139,False
ENSG00000069248,NUP133,t2d,-0.167072968733533,0.0015419695689399,0.042125120395435874,1.864e-09,32.3289,3071.0,0.0024822911156658,False
ENSG00000081026,MAGI3,t2d,-1.04545835917333,0.0001125997997968,0.006434792807702251,1.834e-06,6.1037,2786.0,0.706995122039077,False
ENSG00000086619,ERO1LB,t2d,0.198281353225504,0.0001790794788268,0.009033761827946,1.456e-05,26.4336,4072.0,0.540993790944682,False
ENSG00000116273,PHF13,t2d,-0.257456998688752,0.0001705691975311,0.00877828344869651,2.626e-06,21.4001,2877.0,0.764860481185517,False
ENSG00000116299,KIAA1324,t2d,0.106357545102423,3.00975129645412e-05,0.002396044196161522,3.104e-05,150.1966,2240.0,0.0035307595606218,False
ENSG00000116584,ARHGEF2,t2d,-0.860693075122969,0.0011876481726394,0.03523630641344475,0.0001772,6.8819,1683.0,0.673113346796969,False
ENSG00000118292,C1orf54,t2d,-0.417408362808057,0.0003104947842501,0.013756268919602258,9.493e-06,9.697,1697.0,0.632904192468529,False
ENSG00000127603,MACF1,t2d,0.28499653228493,3.3211482646508395e-11,2.603269293599389e-08,7.658e-14,39.7368,2961.0,3.47486952462794e-06,False
ENSG00000132680,KIAA0907,t2d,-1.40147643125023,0.0011876481726394,0.03523630641344475,0.0001772,6.288,1650.0,0.653112947397751,False
ENSG00000133059,DSTYK,t2d,0.107464160107081,9.66968565875173e-05,0.005900245321118571,9.455e-06,86.4101,3254.0,0.529960406119168,False
ENSG00000133069,TMCC2,t2d,0.276245765698545,0.0004331973762853,0.0174097966107655,9.455e-06,15.9769,3086.0,0.532449473791142,False
ENSG00000134256,CD101,t2d,0.132574119576048,0.0001163658554592,0.006515209160050812,2.471e-08,58.4668,2916.0,0.94884375983226,True
ENSG00000135763,URB2,t2d,-1.07903717865861,0.0015716853273397,0.04268470194471048,1.864e-09,8.5348,3301.0,0.0278553087220012,False
ENSG00000142669,SH3BGRL3,t2d,-0.466378953637279,3.3965348142952e-07,7.866065854015475e-05,1.251e-07,15.5404,2083.0,0.991344131888493,True
ENSG00000142675,CNKSR1,t2d,0.394108102907829,4.43942721805667e-05,0.003231268810856962,1.251e-07,15.441,2039.0,0.504994052194825,False
ENSG00000143393,PI4KB,t2d,1.39004618258219,0.0002816924543843,0.012701088983079721,9.493e-06,5.2459,2493.0,0.654925856506565,False
ENSG00000143476,DTL,t2d,1.81365154281257,0.0015500961845331,0.04223390406522002,0.0003937,6.4703,4600.0,0.708535427853659,False
ENSG00000150337,FCGR1A,t2d,-0.231543542041062,0.0010773638690861,0.03316718376431226,9.493e-06,15.954,1220.0,0.429078643355929,False
ENSG00000162512,SDC3,t2d,-0.387749293665891,0.000495557902168,0.01905560386072423,0.0001701,14.1344,3811.0,0.665778128652954,False
ENSG00000162885,B3GALNT2,t2d,-0.0974353377668762,0.000763071795393,0.02657096870729114,1.456e-05,84.3216,3349.0,0.0015908813187833,False
ENSG00000163113,OTUD7B,t2d,-0.481170758753482,0.0010751973622241,0.03316718376431226,9.493e-06,11.0859,1382.0,0.362074386081974,False
ENSG00000172260,NEGR1,t2d,0.0841505605995696,0.0013120392108359,0.03798204420005063,3.336e-06,34.2031,2820.0,0.166688405682686,False
ENSG00000174529,TMEM81,t2d,0.335959108776287,0.0001790794788268,0.009033761827946,9.455e-06,15.4668,3378.0,0.651463530965496,False
ENSG00000175087,PDIK1L,t2d,1.64353180019438,1.64966650618626e-05,0.0015798709017090624,1.251e-07,4.8431,2034.0,0.660112336853443,False
ENSG00000176092,AIM1L,t2d,0.475869749298799,0.0001315548907188,0.0071521295085449155,1.251e-07,12.0743,2098.0,0.371778355035883,False
ENSG00000177606,JUN,t2d,0.159389360431688,0.0012472518509482,0.03652154126770735,0.001199,28.3811,3770.0,0.327285657075171,False
ENSG00000178715,RP11-169K16.8,t2d,0.139113534776998,0.0012345757246411,0.036359325532060144,1.768e-05,13.433,2970.0,0.261651445259291,False
ENSG00000198492,YTHDF2,t2d,-0.226647752028734,1.40892452880734e-05,0.0014422604863978902,7.602e-06,14.9962,2237.0,0.910657101380508,True
ENSG00000198700,IPO9,t2d,-0.316982478258418,0.0002271389839353,0.011021648791908128,8.788e-07,17.1518,3291.0,0.576568420374279,False
ENSG00000198860,TSEN15,t2d,0.169536250887004,0.00039760758223,0.01647000513383618,0.0003655,26.7705,3521.0,0.63771981744115,False
ENSG00000213281,NRAS,t2d,-0.854922871180552,0.001927878031905,0.04986060189114708,1.834e-06,5.7355,3460.0,0.230955136050402,False
ENSG00000226920,RP5-1068B5.3,t2d,-0.939883123466774,1.62964898396809e-06,0.0002594706741661693,1.864e-09,7.218,3028.0,0.852114495602402,True
ENSG00000242349,NPPA-AS1,t2d,0.0972660709821187,0.0010079856463135,0.031595623214820664,0.000302,38.5879,2390.0,0.516276063924495,False
ENSG00000259834,RP11-284N8.3,t2d,0.191801524882591,0.0004734811017075,0.018368400164477935,2.834e-06,14.4624,3792.0,0.692246325509445,False
ENSG00000081320,STK17B,t2d,0.20540646635456,0.0007850160054334,0.02702470640326468,6.995e-05,23.5131,3418.0,0.457779472209739,False
ENSG00000115211,EIF2B4,t2d,0.615429280170299,6.76661938975735e-08,2.2242532768266903e-05,5.159e-21,10.4005,2387.0,2.14515048901416e-10,False
ENSG00000115216,NRBP1,t2d,-0.259994827608533,2.20702266134477e-08,8.03198604253686e-06,5.159e-21,30.2042,2387.0,2.03252150287808e-08,False
ENSG00000115241,PPM1G,t2d,-0.345256507132712,1.70798109419836e-05,0.0015822115772619353,5.159e-21,17.6429,2387.0,2.1776425787798397e-11,False
ENSG00000116030,SUMO1,t2d,0.875412169521194,0.001498365012654,0.04126578237552503,9.651e-05,5.1547,2700.0,0.341304581631573,False
ENSG00000118997,DNAH7,t2d,0.280545726667071,0.0005180137366909,0.019769887553858695,6.995e-05,18.6261,3499.0,0.422731799837157,False
ENSG00000119760,SUPT7L,t2d,0.505112324830184,0.0013305750393882,0.03830101596431005,5.159e-21,9.726,2652.0,1.4208647654516e-14,False
ENSG00000119866,BCL11A,t2d,-0.763469746752601,5.5811237651583e-06,0.0007198943185691528,2.29e-15,6.7655,3512.0,9.79881909471997e-05,False
ENSG00000123636,BAZ2B,t2d,0.0732776185070312,0.0001582339720921,0.008226551916420913,1.391e-11,75.4122,4527.0,0.0001283476465612,False
ENSG00000135924,DNAJB2,t2d,-0.433772372208766,0.0014591258314483,0.0407355951300224,0.0002965,13.5827,2794.0,0.397419462386376,False
ENSG00000135974,C2orf49,t2d,0.993379810487888,1.90172751687517e-07,5.0996324728836795e-05,1.219e-07,7.2014,4423.0,0.980172561304731,True
ENSG00000143882,ATP6V1C2,t2d,-0.425372950225685,0.0016221251935153,0.0437287188410606,0.0001428,9.4357,3776.0,0.238373407894242,False
ENSG00000153214,TMEM87B,t2d,-0.17939503278603,0.0016652406334837,0.044455992952103104,3.567e-08,29.669,2584.0,0.0095240371685035,False
ENSG00000153250,RBMS1,t2d,0.888891475665545,1.87298800335259e-06,0.0002936268885255829,1.391e-11,8.5907,3997.0,0.008232028828628,False
ENSG00000157992,KRTCAP3,t2d,0.124157365543321,1.80695257534426e-05,0.001634436763793266,5.159e-21,32.9934,2394.0,1.56448591924548e-10,False
ENSG00000177917,ARL6IP6,t2d,0.387596921717098,0.0004548540393908,0.017853999263301796,7.512e-05,12.2112,4089.0,0.790630711068086,False
ENSG00000196950,SLC39A10,t2d,-0.107474762387584,0.0004142043505126,0.016950772416559817,6.995e-05,44.0911,3613.0,0.5682010729955,False
ENSG00000198925,ATG9A,t2d,-0.355976069924604,0.0016652406334837,0.044455992952103104,0.0002965,16.0482,2717.0,0.399301059342337,False
ENSG00000223522,AC093690.1,t2d,-0.106681839260739,0.0010101973479222,0.031595623214820664,5.159e-21,14.51,3278.0,1.85563103879721e-14,False
ENSG00000224152,AC009506.1,t2d,0.0510262330688967,0.0001582339720921,0.008226551916420913,1.391e-11,44.8808,4393.0,0.0001326178121339,False
ENSG00000226261,AC064836.3,t2d,0.239463250679403,0.0007692282402994,0.02657096870729114,9.651e-05,10.5199,2607.0,0.37633571456056,False
