gene,outcome,nsnp,n_perm,fp_ge05,fp_ge08,fp_ge09,fp_rate08,obs_h4,note
ENSG00000054356,cad,4592,100,0,0,0,0,0.944339625573639,""
ENSG00000056586,t2d,3188,100,2,0,0,0,0.817415181215947,""
ENSG00000064999,t2d,3168,100,2,1,1,0.01,0.8935332822457,""
ENSG00000073614,t2d,1998,100,2,0,0,0,0.816740225694258,""
ENSG00000079393,cad,3556,100,1,0,0,0,0.872879144250486,""
ENSG00000085721,t2d,1929,100,1,1,0,0.01,0.923805536292926,""
ENSG00000090612,cad,2320,100,7,3,0,0.03,0.867457634253687,""
ENSG00000100296,cad,4877,100,4,0,0,0,0.9227176976172,""
ENSG00000104497,cad,5603,100,1,0,0,0,0.87381104158605,""
ENSG00000105767,cad,5432,100,1,0,0,0,0.995684672419698,""
ENSG00000107779,cad,4912,100,1,0,0,0,0.909761693477387,""
ENSG00000107798,cad,6418,100,0,0,0,0,0.998932758088505,""
ENSG00000108219,cad,6704,100,0,0,0,0,0.995904563349378,""
ENSG00000108262,t2d,1917,100,3,0,0,0,0.893666795884946,""
ENSG00000108551,cad,4152,100,2,1,1,0.01,0.98599491492195,""
ENSG00000109670,t2d,3383,100,8,3,3,0.03,0.924611236013898,""
ENSG00000109919,cad,3637,100,2,1,0,0.01,0.902287924015749,""
ENSG00000111642,t2d,2524,100,7,1,1,0.01,0.963192794374054,""
ENSG00000111879,t2d,4352,100,0,0,0,0,0.900030148999246,""
ENSG00000112282,t2d,4064,100,0,0,0,0,0.982610204476408,""
ENSG00000118513,cad,4709,100,1,1,1,0.01,0.812564047232375,""
ENSG00000118520,t2d,4015,100,1,1,1,0.01,0.998466865293651,""
ENSG00000118620,cad,6834,100,2,0,0,0,0.811586798031648,""
ENSG00000119684,cad,4766,100,11,7,1,0.07,0.874624754952309,""
ENSG00000119718,cad,4807,100,12,8,2,0.08,0.96092281304837,""
ENSG00000122557,t2d,4114,100,2,0,0,0,0.93119066276845,""
ENSG00000130475,cad,6048,100,5,2,1,0.02,0.953262705133287,""
ENSG00000130856,t2d,5114,100,6,3,1,0.03,0.935529413476269,""
ENSG00000132128,cad,4113,100,2,0,0,0,0.909483076324573,""
ENSG00000132793,cad,5371,100,1,1,0,0.01,0.95620440896145,""
ENSG00000134802,t2d,4506,100,5,3,0,0.03,0.808063064750859,""
ENSG00000135070,fbg,1957,100,1,1,1,0.01,0.919356981115333,""
ENSG00000136715,cad,6002,100,0,0,0,0,0.82152618661109,""
ENSG00000138131,cad,4906,100,1,0,0,0,0.944391116585441,""
ENSG00000138160,t2d,3664,100,1,0,0,0,0.882591554243968,""
ENSG00000141452,t2d,3036,100,4,2,0,0.02,0.988627669745569,""
ENSG00000142669,t2d,2083,100,4,1,1,0.01,0.991344131888493,""
ENSG00000144749,t2d,4070,100,0,0,0,0,0.922057550649883,""
ENSG00000145214,cad,5504,100,0,0,0,0,0.818021237058054,""
ENSG00000145375,t2d,3848,100,6,0,0,0,0.915979967524608,""
ENSG00000145431,t2d,4701,100,3,0,0,0,0.943693907632831,""
ENSG00000146830,t2d,2701,100,4,2,0,0.02,0.998349762147204,""
ENSG00000148572,t2d,4115,100,2,1,0,0.01,0.811401104931589,""
ENSG00000149084,t2d,4647,100,5,5,2,0.05,0.800204188355584,""
ENSG00000150627,cad,5972,100,0,0,0,0,0.880246872223885,""
ENSG00000151465,cad,6977,100,2,0,0,0,0.917774247428539,""
ENSG00000157045,t2d,1899,100,0,0,0,0,0.814925986106974,""
ENSG00000160563,t2d,2653,100,8,4,0,0.04,0.926102331834865,""
ENSG00000161277,t2d,2743,100,6,4,1,0.04,0.950912141070468,""
ENSG00000161395,cad,4082,100,5,4,1,0.04,0.890020029782919,""
ENSG00000163257,t2d,4036,100,3,2,2,0.02,0.83892141295213,""
ENSG00000163577,t2d,3569,100,3,1,1,0.01,0.824313108247966,""
ENSG00000163933,t2d,2712,100,1,0,0,0,0.987587386106579,""
ENSG00000164535,cad,7086,100,2,2,2,0.02,0.963521272162061,""
ENSG00000165609,t2d,4090,100,0,0,0,0,0.999653186092686,""
ENSG00000169379,t2d,1539,100,21,0,0,0,0.935442298629427,""
ENSG00000170145,cad,4953,100,4,0,0,0,0.856181632187796,""
ENSG00000180530,cad,5986,100,0,0,0,0,0.998005335164654,""
ENSG00000181264,cad,5481,100,1,1,1,0.01,0.866319231849221,""
ENSG00000183049,t2d,4180,100,0,0,0,0,0.9996531860928,""
ENSG00000186130,t2d,3211,100,10,2,1,0.02,0.913584973669545,""
ENSG00000187486,t2d,3474,100,0,0,0,0,0.896540971188041,""
ENSG00000187942,cad,5929,100,2,2,0,0.02,0.823262921141715,""
ENSG00000188277,cad,4477,100,2,2,1,0.02,0.809719023774493,""
ENSG00000196072,t2d,3239,100,4,3,1,0.03,0.973617613057999,""
ENSG00000196378,t2d,239,100,37,22,10,0.22,0.837476902458287,""
ENSG00000196821,cad,6180,100,2,2,1,0.02,0.894115644262981,""
ENSG00000197702,t2d,4651,100,0,0,0,0,0.89410643966769,""
ENSG00000198353,cad,4709,100,0,0,0,0,0.934922048754275,""
ENSG00000198492,t2d,2237,100,9,1,0,0.01,0.910657101380508,""
ENSG00000203288,cad,3765,100,1,1,1,0.01,0.883182269117576,""
ENSG00000205238,t2d,2492,100,7,4,1,0.04,0.963073941110322,""
ENSG00000212541,cad,5155,100,0,0,0,0,0.988896566819144,""
ENSG00000213277,cad,4382,100,1,0,0,0,0.916142214868887,""
ENSG00000213390,t2d,3078,100,4,2,0,0.02,0.839294639172335,""
ENSG00000214413,t2d,3967,100,2,1,0,0.01,0.853468938885073,""
ENSG00000215251,cad,6204,100,1,0,0,0,0.903698834280561,""
ENSG00000226920,t2d,3028,100,1,1,1,0.01,0.852114495602402,""
ENSG00000229666,t2d,3673,100,4,3,1,0.03,0.97675195075488,""
ENSG00000230069,t2d,3349,100,8,0,0,0,0.980973397057211,""
ENSG00000230224,t2d,3227,100,6,1,0,0.01,0.972888870400323,""
ENSG00000230925,t2d,2994,100,6,0,0,0,0.924871926954197,""
ENSG00000235513,t2d,2367,100,3,2,1,0.02,0.936513688220717,""
ENSG00000237429,cad,3322,100,2,2,1,0.02,0.930423615803356,""
ENSG00000242142,t2d,2654,100,7,4,1,0.04,0.979895214083185,""
ENSG00000242288,t2d,2033,100,6,3,1,0.03,0.940514018726893,""
ENSG00000245556,cad,5439,100,3,0,0,0,0.811992511905522,""
ENSG00000246889,cad,6007,100,2,1,0,0.01,0.933704061858495,""
ENSG00000248677,cad,7029,100,1,0,0,0,0.861921688363935,""
ENSG00000248971,t2d,3352,100,12,2,2,0.02,0.980973396431229,""
ENSG00000251288,t2d,3340,100,8,2,2,0.02,0.9809732435352,""
ENSG00000251582,t2d,1999,100,6,2,1,0.02,0.904653118179906,""
ENSG00000253878,t2d,4934,100,3,1,0,0.01,0.932041698504472,""
ENSG00000253981,t2d,3390,100,4,1,1,0.01,0.816051995860348,""
ENSG00000256269,cad,4887,100,1,1,0,0.01,0.886141680923424,""
ENSG00000260233,t2d,2073,100,6,6,4,0.06,0.976614268576567,""
ENSG00000260252,cad,4216,100,3,2,2,0.02,0.852429632814496,""
ENSG00000263883,t2d,2126,100,21,1,0,0.01,0.803923856428146,""
ENSG00000264386,cad,3596,100,1,1,1,0.01,0.805877031808448,""
ENSG00000264508,cad,2932,100,1,0,0,0,0.922589447019508,""
ENSG00000264584,cad,2938,100,3,3,3,0.03,0.92137482738309,""
ENSG00000266173,t2d,2070,100,29,3,0,0.03,0.846610825514875,""
ENSG00000267342,cad,5157,100,2,1,0,0.01,0.866556006808261,""
ENSG00000267698,t2d,2720,100,2,1,0,0.01,0.850176089156289,""
ENSG00000268471,t2d,3359,100,4,1,1,0.01,0.846089643863427,""
ENSG00000268649,fbg,2333,100,0,0,0,0,0.94665233324918,""
