"gene","outcome","nsnp1","b1","se1","p1","nsnp2","b2","se2","p2","sign_flip","p_change"
"A2MP1","cad",3,-0.000915484595184675,0.000596677491084774,0.12495490939017,NA,NA,NA,NA,FALSE,NA
"A2MP1","fbg",3,0.0122527101982257,0.00198095482323108,6.20022657979606e-10,NA,NA,NA,NA,FALSE,NA
"A2MP1","t2d",3,0.0183504422248447,0.00253991404270107,5.01736271160558e-13,NA,NA,NA,NA,FALSE,NA
"A4GALT","cad",2,0.0126025698549999,0.000116015902106251,0,NA,NA,NA,NA,FALSE,NA
"A4GALT","t2d",2,-0.0037298620210562,0.000514284246312318,4.09057036729233e-13,NA,NA,NA,NA,FALSE,NA
"AAGAB","cad",3,-0.0164840559772737,0.000492267710204056,7.7170064068571e-246,NA,NA,NA,NA,FALSE,NA
"AAGAB","fbg",3,-0.00898294502772365,9.31847021788744e-05,0,NA,NA,NA,NA,FALSE,NA
"AAGAB","t2d",3,0.0333283944300872,0.000897240484399095,5.19350692244696e-302,NA,NA,NA,NA,FALSE,NA
"AAR2","cad",3,-0.112593117927101,0.0103948135708387,2.43688737140821e-27,NA,NA,NA,NA,FALSE,NA
"AASDH","cad",3,-0.0089865662268117,0.000231804592897456,0,NA,NA,NA,NA,FALSE,NA
"AASDH","fbg",3,0.00226324626415886,0.0022670027140892,0.318113068862419,NA,NA,NA,NA,FALSE,NA
"AASDH","t2d",3,0.0104699923389119,0.000691391675975192,8.3820858275548e-52,NA,NA,NA,NA,FALSE,NA
"AATK","cad",2,0.00210718713284772,0.000107248330654072,6.04469212839773e-86,NA,NA,NA,NA,FALSE,NA
"AATK","fbg",2,0.00966377761361066,7.63769307407662e-05,0,NA,NA,NA,NA,FALSE,NA
"ABAT","cad",2,-0.0222905681274583,0.0315518079784119,0.479892703991033,NA,NA,NA,NA,FALSE,NA
"ABCC3","cad",3,-0.00456979411120418,0.000872846408181013,1.64531944210147e-07,NA,NA,NA,NA,FALSE,NA
"ABCC3","fbg",3,0.00122280183941206,0.00137024990683827,0.372182159784654,NA,NA,NA,NA,FALSE,NA
"ABCC3","t2d",3,0.0386947475961049,0.000855280451332864,0,NA,NA,NA,NA,FALSE,NA
"ABCC4","cad",3,0.00952910421979136,0.000563391436563857,3.55842492808531e-64,NA,NA,NA,NA,FALSE,NA
"ABCC4","fbg",3,0.00960661246898668,0.000647095316843367,7.41260143676545e-50,NA,NA,NA,NA,FALSE,NA
"ABCC4","t2d",3,0.0344029886567581,0.00330636533517943,2.35063920822499e-25,NA,NA,NA,NA,FALSE,NA
"ABCC5","cad",3,0.00190346840660405,0.000342495266046367,2.73432845271581e-08,NA,NA,NA,NA,FALSE,NA
"ABCC5","t2d",3,0.0168026633466141,0.000342035947289015,0,NA,NA,NA,NA,FALSE,NA
"AKR1C2","cad",NA,NA,NA,NA,16,-0.0418824868917213,0.0285199796200899,0.141959921121098,FALSE,NA
"AKR1C2","fbg",NA,NA,NA,NA,7,-0.0110011610823928,0.0130420720145017,0.398941435792843,FALSE,NA
"AKR1C2","t2d",NA,NA,NA,NA,8,-0.0603420119884648,0.0319781005878641,0.059163117780278,FALSE,NA
"CASP7","cad",NA,NA,NA,NA,21,-0.0345168901487741,0.0225572321244905,0.12596927671007,FALSE,NA
"CASP7","fbg",NA,NA,NA,NA,7,0.00826182162452516,0.00840657318258609,0.325715163207997,FALSE,NA
"CASP7","t2d",NA,NA,NA,NA,5,0.040071542334558,0.0358031171028576,0.263046561866403,FALSE,NA
"CETP","cad",3,0.282539871570998,0.00215204946613292,0,5,0.138084419468387,0.109040711184167,0.205385457293032,FALSE,-Inf
"CETP","fbg",3,0.0654259619119541,0.00570643595552961,1.97090727560623e-30,3,0.0517548887592086,0.0231559606414279,0.0254136158510171,FALSE,-28.1104002681938
"CETP","t2d",3,0.145219990814502,0.00396814305818897,3.25594435992085e-293,3,0.139821725691856,0.0807183330805394,0.0832348078304355,FALSE,-291.407628006465
"DHX32","cad",NA,NA,NA,NA,18,0.0202243503261411,0.0190243475228947,0.287746937654019,FALSE,NA
"DHX32","fbg",NA,NA,NA,NA,3,0.0164496544323832,0.0139001783842871,0.236645432702401,FALSE,NA
"DHX32","t2d",NA,NA,NA,NA,2,-0.0274214668696333,0.0351162198437103,0.434874531411392,FALSE,NA
"HMGCR","cad",3,-0.00208232867388443,0.0240069146257471,0.930879210590202,2,0.0370931384467586,0.0249455606637425,0.137024448680006,TRUE,0.832095267916927
"HMGCR","fbg",3,-0.0890513377850979,0.00336632648324891,3.31990738236053e-154,NA,NA,NA,NA,FALSE,NA
"HMGCR","t2d",3,-0.433022813652279,0.0303037158411034,2.54686970830935e-46,NA,NA,NA,NA,FALSE,NA
"LHPP","cad",NA,NA,NA,NA,22,-0.0153378562525523,0.0159972379489309,0.337668816499251,FALSE,NA
"LHPP","fbg",NA,NA,NA,NA,6,0.00629142376231674,0.0136028538482495,0.643717328413174,FALSE,NA
"MTG1","cad",NA,NA,NA,NA,4,0.0401396129546184,0.0516027342487227,0.43665257885929,FALSE,NA
"MTG1","fbg",NA,NA,NA,NA,2,-0.0922935610989722,0.022954663569298,5.80281954101068e-05,FALSE,NA
"NANOS1","cad",NA,NA,NA,NA,8,0.0559961722289673,0.0157670264607561,0.000383080974652376,FALSE,NA
"NANOS1","fbg",NA,NA,NA,NA,3,0.0156526172088523,0.00776292390067545,0.0437654683044144,FALSE,NA
"NCOA4","cad",NA,NA,NA,NA,2,0.0489503758574728,0.00884670903829195,3.14488140354601e-08,FALSE,NA
