"Gene","drug","transcript_cis","decode_protein","tr_signal","tr_min_p","tr_min_pair","tr_min_b","channel_class"
"DPP4","DPP4i 靶点",TRUE,TRUE,"transcript-signal",0.00292693897555515,"T2D",-0.26671434490324,"both"
"GLP1R","GLP-1RA 靶点（受体激动剂）",TRUE,TRUE,"transcript-signal",0.0341238138413038,"T2D",-0.389106652605221,"both"
"INSR","胰岛素/增敏靶点",TRUE,TRUE,"transcript-signal",0.00132668063514794,"T2D",-0.938194693342682,"both"
"KCNJ11","磺脲类靶点 Kir6.2",TRUE,FALSE,"transcript-signal",3.9776513897556e-16,"T2D",0.595181300858269,"transcript-only"
"PPARG","TZD 靶点（核受体）",TRUE,FALSE,"transcript-signal",0.0184988531173842,"FBG",0.00533381618618439,"transcript-only"
"PRKAA1","AMPKα1（二甲双胍通路）",TRUE,FALSE,"transcript-signal",0.000616691850231251,"CAD",0.103102243396022,"transcript-only"
"SLC5A2","SGLT2i 靶点",TRUE,FALSE,"transcript-null",0.406795827115667,"T2D",-0.210948033536873,"transcript-only"
"TCF7L2","T2D 最强易感基因",TRUE,FALSE,"transcript-signal",7.55984694658096e-144,"FBG",-0.0294043613024348,"transcript-only"
"GCG","胰高血糖素受体",FALSE,TRUE,"transcript-null",NA,NA,NA,"protein-only"
"PCK1","糖异生 PEPCK",FALSE,TRUE,"transcript-null",NA,NA,NA,"protein-only"
"ABCC8","磺脲类靶点 SUR1",FALSE,FALSE,"transcript-null",NA,NA,NA,"neither"
"G6PC","糖异生 G6Pase",FALSE,FALSE,"transcript-null",NA,NA,NA,"neither"
"PDX1","β细胞转录因子",FALSE,FALSE,"transcript-null",NA,NA,NA,"neither"
"SLC5A1","SGLT1",FALSE,FALSE,"transcript-null",NA,NA,NA,"neither"
