ENSG,biotype
ENSG00000089248,protein_coding
ENSG00000119285,protein_coding
ENSG00000130856,protein_coding
ENSG00000107798,protein_coding
ENSG00000113070,protein_coding
ENSG00000073849,protein_coding
ENSG00000102967,protein_coding
ENSG00000066056,protein_coding
ENSG00000134262,protein_coding
ENSG00000127603,protein_coding
ENSG00000064995,protein_coding
ENSG00000014641,protein_coding
ENSG00000070526,protein_coding
ENSG00000111300,protein_coding
ENSG00000108771,protein_coding
ENSG00000108788,protein_coding
ENSG00000103549,protein_coding
ENSG00000103540,protein_coding
ENSG00000115216,protein_coding
ENSG00000100296,protein_coding
ENSG00000073711,protein_coding
ENSG00000129351,protein_coding
ENSG00000029534,protein_coding
ENSG00000135074,protein_coding
ENSG00000135070,protein_coding
ENSG00000118997,protein_coding
ENSG00000106392,protein_coding
ENSG00000113163,protein_coding
ENSG00000117682,protein_coding
ENSG00000106771,protein_coding
ENSG00000074695,protein_coding
ENSG00000125686,protein_coding
ENSG00000119401,protein_coding
ENSG00000122557,protein_coding
ENSG00000094975,protein_coding
ENSG00000115525,protein_coding
ENSG00000116584,protein_coding
ENSG00000127415,protein_coding
ENSG00000005379,protein_coding
ENSG00000067606,protein_coding
ENSG00000111424,protein_coding
ENSG00000112996,protein_coding
ENSG00000065559,protein_coding
ENSG00000073803,protein_coding
ENSG00000105767,protein_coding
ENSG00000047849,protein_coding
ENSG00000119950,protein_coding
ENSG00000051382,protein_coding
ENSG00000133789,protein_coding
ENSG00000127616,protein_coding
ENSG00000123636,protein_coding
ENSG00000050820,protein_coding
ENSG00000085511,protein_coding
ENSG00000110063,protein_coding
ENSG00000132128,protein_coding
ENSG00000059377,protein_coding
ENSG00000103671,protein_coding
ENSG00000121989,protein_coding
ENSG00000116983,protein_coding
ENSG00000085721,protein_coding
ENSG00000075292,protein_coding
ENSG00000073614,protein_coding
ENSG00000114648,protein_coding
ENSG00000114270,protein_coding
ENSG00000114902,protein_coding
ENSG00000132680,protein_coding
ENSG00000055147,protein_coding
ENSG00000025434,protein_coding
ENSG00000131127,protein_coding
ENSG00000115241,protein_coding
ENSG00000119684,protein_coding
ENSG00000132793,protein_coding
ENSG00000076685,protein_coding
ENSG00000073060,protein_coding
ENSG00000114021,protein_coding
ENSG00000130733,protein_coding
ENSG00000119969,protein_coding
ENSG00000132698,protein_coding
ENSG00000132823,protein_coding
ENSG00000033627,protein_coding
ENSG00000066777,protein_coding
ENSG00000090612,protein_coding
ENSG00000100815,protein_coding
ENSG00000007866,protein_coding
ENSG00000115211,protein_coding
ENSG00000107960,protein_coding
ENSG00000081320,protein_coding
ENSG00000092929,protein_coding
ENSG00000108774,protein_coding
ENSG00000089022,protein_coding
ENSG00000105323,protein_coding
ENSG00000105726,protein_coding
ENSG00000031698,protein_coding
ENSG00000112701,protein_coding
ENSG00000124766,protein_coding
ENSG00000115486,protein_coding
ENSG00000110693,protein_coding
ENSG00000111252,protein_coding
ENSG00000005471,protein_coding
ENSG00000108219,protein_coding
ENSG00000134900,protein_coding
ENSG00000128607,protein_coding
ENSG00000131771,protein_coding
ENSG00000111271,protein_coding
ENSG00000056586,protein_coding
ENSG00000119866,protein_coding
ENSG00000087274,protein_coding
ENSG00000121211,protein_coding
ENSG00000133059,protein_coding
ENSG00000054356,protein_coding
ENSG00000108262,protein_coding
ENSG00000119640,protein_coding
ENSG00000111879,protein_coding
ENSG00000109618,protein_coding
ENSG00000117602,protein_coding
