"symbol","tissue","n_cis_p5e6","top_pval"
"PCSK9","Liver",1,6.02154e-07
"ANGPTL3","Liver",0,1.13102e-05
"APOB","Liver",0,0.000189944
"DPP4","Liver",0,0.00239984
"PPARG","Liver",0,0.00028869
"HMGCR","Liver",0,0.00597735
"NPC1L1","Liver",0,3.08583e-05
"TCF7L2","Liver",0,0.000303528
"KCNJ11","Liver",1,2.00901e-09
"ABCC8","Liver",1,6.44584e-07
"APOC3","Liver",0,0.000201405
"PDX1","Liver",0,0.000256609
"SLC5A2","Liver",0,0.00225773
"CETP","Liver",0,1.40253e-05
"G6PC","Liver",0,0.000846456
"INSR","Liver",0,2.68908e-05
"LDLR","Liver",0,0.000869777
"PCK1","Liver",0,0.000106911
"SLC5A1","Liver",0,0.000188135
"PCSK9","Pancreas",1,3.99328e-07
"ANGPTL3","Pancreas",0,0.000144233
"APOB","Pancreas",0,0.000256597
"DPP4","Pancreas",0,0.000210785
"GCG","Pancreas",0,0.000211935
"PPARG","Pancreas",0,0.000515042
"HMGCR","Pancreas",0,0.000462002
"GLP1R","Pancreas",1,1.38336e-12
"NPC1L1","Pancreas",1,4.04155e-07
"TCF7L2","Pancreas",0,0.000102671
"KCNJ11","Pancreas",1,4.86162e-13
"ABCC8","Pancreas",0,0.000101085
"APOC3","Pancreas",0,0.000112687
"PDX1","Pancreas",1,1.06797e-07
"SLC5A2","Pancreas",1,4.2373e-13
"CETP","Pancreas",1,4.00782e-07
"G6PC","Pancreas",0,0.000274583
"INSR","Pancreas",0,5.9734e-06
"LDLR","Pancreas",0,0.00015879
"PCK1","Pancreas",0,0.000163432
"SLC5A1","Pancreas",0,0.000299863
"PCSK9","Whole_Blood",1,8.79411e-14
"ANGPTL3","Whole_Blood",0,0.000359546
"DPP4","Whole_Blood",0,0.00201366
"PPARG","Whole_Blood",0,2.83174e-05
"HMGCR","Whole_Blood",0,0.00120747
"TCF7L2","Whole_Blood",0,1.74133e-05
"KCNJ11","Whole_Blood",0,0.000359159
"APOC3","Whole_Blood",0,0.00115344
"SLC5A2","Whole_Blood",0,0.00156868
"CETP","Whole_Blood",0,3.80789e-05
"INSR","Whole_Blood",1,1.32757e-15
"LDLR","Whole_Blood",1,1.73439e-08
"PCK1","Whole_Blood",0,0.000216959
"PCSK9","Adipose_Subcutaneous",0,2.71088e-05
"ANGPTL3","Adipose_Subcutaneous",0,0.000742998
"APOB","Adipose_Subcutaneous",1,4.92464e-29
"DPP4","Adipose_Subcutaneous",0,0.00309547
"PPARG","Adipose_Subcutaneous",0,9.78363e-05
"HMGCR","Adipose_Subcutaneous",0,0.000236529
"GLP1R","Adipose_Subcutaneous",0,0.00017384
"NPC1L1","Adipose_Subcutaneous",1,1.68881e-18
"TCF7L2","Adipose_Subcutaneous",0,7.75348e-06
"KCNJ11","Adipose_Subcutaneous",0,0.000417245
"ABCC8","Adipose_Subcutaneous",1,9.4273e-31
"APOC3","Adipose_Subcutaneous",0,2.39176e-05
"SLC5A2","Adipose_Subcutaneous",0,8.92634e-05
"CETP","Adipose_Subcutaneous",1,2.31346e-08
"INSR","Adipose_Subcutaneous",1,1.53344e-06
"LDLR","Adipose_Subcutaneous",0,0.000300598
"PCK1","Adipose_Subcutaneous",1,3.19734e-06
"SLC5A1","Adipose_Subcutaneous",0,0.000165835
"APOB","Muscle_Skeletal",1,3.66195e-07
"DPP4","Muscle_Skeletal",0,0.00157511
"PPARG","Muscle_Skeletal",0,0.000209667
"HMGCR","Muscle_Skeletal",1,6.41395e-10
"NPC1L1","Muscle_Skeletal",1,3.78762e-06
"TCF7L2","Muscle_Skeletal",0,0.000111339
"KCNJ11","Muscle_Skeletal",1,7.82956e-09
"ABCC8","Muscle_Skeletal",1,2.62834e-85
"APOC3","Muscle_Skeletal",0,0.000479005
"CETP","Muscle_Skeletal",0,1.23112e-05
"INSR","Muscle_Skeletal",1,2.01579e-06
"LDLR","Muscle_Skeletal",0,6.7724e-05
"PCK1","Muscle_Skeletal",0,0.000740971
"SLC5A1","Muscle_Skeletal",0,0.00103487
"PCSK9","Artery_Coronary",0,6.32163e-05
"ANGPTL3","Artery_Coronary",0,0.00010778
"APOB","Artery_Coronary",0,2.23288e-05
"DPP4","Artery_Coronary",0,5.48937e-05
"PPARG","Artery_Coronary",0,4.453e-05
"HMGCR","Artery_Coronary",0,0.000257308
"GLP1R","Artery_Coronary",0,0.000385927
"NPC1L1","Artery_Coronary",0,0.00083437
"TCF7L2","Artery_Coronary",0,0.000257493
"KCNJ11","Artery_Coronary",0,0.00015309
"ABCC8","Artery_Coronary",1,2.06885e-23
"APOC3","Artery_Coronary",0,0.00104045
"SLC5A2","Artery_Coronary",0,0.00142002
"CETP","Artery_Coronary",0,9.53065e-05
"INSR","Artery_Coronary",0,0.000107353
"LDLR","Artery_Coronary",0,0.000139572
"PCK1","Artery_Coronary",0,0.000279411
"SLC5A1","Artery_Coronary",0,0.00221049
