"GeneName","n_eqtl","min_p","islet_available"
"ACTR8",1,4.59563e-44,TRUE
"ERC2",1,9.17441e-07,TRUE
"CCDC66",1,8.62068e-11,TRUE
"ARHGEF3",1,8.44758e-07,TRUE
"ABHD6",1,6.79776e-12,TRUE
"PXK",1,1.21914e-16,TRUE
"PDHB",1,6.54752e-14,TRUE
"FAM107A",1,1.3947e-21,TRUE
"LINC00698",1,2.22965e-14,TRUE
"LRIG1",1,3.1521e-08,TRUE
"SUCLG2",1,2.59081e-13,TRUE
"RP11-81N13.1",1,1.92508e-13,TRUE
"FAM19A1",1,1.57651e-06,TRUE
"ARL6IP5",1,1.02308e-21,TRUE
"GPR27",1,1.98554e-08,TRUE
"RP11-803B1.8",1,7.94852e-09,TRUE
"LINC00960",1,2.37423e-73,TRUE
"ZNF717",1,2.08334e-10,TRUE
"VGLL3",1,3.0484e-06,TRUE
"CHMP2B",1,1.23383e-09,TRUE
"DHFRL1",1,1.22105e-07,TRUE
"FILIP1L",1,1.27629e-06,TRUE
"NIT2",1,9.61544e-08,TRUE
"LNP1",1,6.71743e-26,TRUE
"TMEM45A",1,7.26963e-70,TRUE
"TFG",1,2.54579e-06,TRUE
"COLEC12",1,1.48737e-08,TRUE
"CLUL1",1,5.71037e-16,TRUE
"ENOSF1",1,1.65181e-13,TRUE
"RP11-672L10.6",1,3.85947e-08,TRUE
"ADCYAP1",1,2.44312e-08,TRUE
"RP13-270P17.3",1,4.80773e-14,TRUE
"C18orf42",1,1.32618e-20,TRUE
"LINC00667",1,4.31293e-23,TRUE
"ARHGAP28",1,9.72631e-13,TRUE
"TWSG1",1,4.85082e-13,TRUE
"RP11-474N24.6",1,2.05753e-09,TRUE
"NAPG",1,2.22907e-38,TRUE
"GNAL",1,1.93762e-14,TRUE
"SLMO1",1,9.86226e-09,TRUE
"SPIRE1",1,2.21975e-14,TRUE
"CEP192",1,1.32833e-34,TRUE
"ZNF519",1,6.05332e-27,TRUE
"ANKRD30B",1,1.15297e-06,TRUE
"CADM2",2,1.24085e-08,TRUE
"RP11-451B8.1",2,1.77438e-07,TRUE
"C3orf38",2,7.77773e-09,TRUE
"ST3GAL6",2,1.19088e-13,TRUE
"TBC1D23",2,5.55937e-07,TRUE
"AP005482.1",2,1.57301e-09,TRUE
"C18orf8",1,4.20246e-11,TRUE
"NPC1",1,5.58696e-21,TRUE
"TTC39C",1,3.75875e-09,TRUE
"CDH2",1,3.58309e-27,TRUE
"DSC2",1,9.24464e-08,TRUE
"SHC2",1,4.40565e-09,TRUE
"WDR18",1,1.9536e-49,TRUE
"HMHA1",1,3.39303e-12,TRUE
"POLR2E",1,5.38305e-09,TRUE
"GPX4",1,3.21568e-15,TRUE
"C19orf24",1,7.14391e-12,TRUE
"MUM1",1,1.75894e-07,TRUE
"AMH",1,3.25314e-28,TRUE
"LSM7",1,1.95432e-07,TRUE
"ZNF554",1,4.17125e-14,TRUE
"ZNF57",1,7.45563e-13,TRUE
"TLE6",1,1.31212e-07,TRUE
"C19orf77",1,2.58372e-29,TRUE
"CACTIN",1,1.36338e-06,TRUE
"MRPL54",1,2.05003e-19,TRUE
"ATCAY",1,1.71173e-06,TRUE
"ANKRD24",1,3.1049e-18,TRUE
"CHAF1A",1,8.396e-29,TRUE
"UBXN6",1,1.34797e-06,TRUE
"MIR7-3HG",1,1.33153e-15,TRUE
"RPL36",1,5.4467e-07,TRUE
"LONP1",1,1.30299e-17,TRUE
"CTB-54O9.9",1,3.8868e-08,TRUE
"DUS3L",1,1.03716e-31,TRUE
"FUT6",1,6.14442e-09,TRUE
"CAPS",1,8.25594e-07,TRUE
"SH3YL1",1,6.92898e-74,TRUE
"FAM150B",1,5.21631e-07,TRUE
"ADI1",1,1.07306e-08,TRUE
"COLEC11",1,1.9022e-07,TRUE
"SOX11",1,1.5251e-08,TRUE
"RNF144A",1,6.2341e-16,TRUE
"ASAP2",1,2.8379e-10,TRUE
"IAH1",1,4.16679e-10,TRUE
"RP11-214N9.1",1,1.03759e-14,TRUE
"TAF1B",1,2.9132e-49,TRUE
"RP11-95D17.1",1,1.37663e-31,TRUE
"RP11-254F7.2",1,2.66194e-07,TRUE
"DSG2",2,8.12378e-12,TRUE
"KLHL14",2,3.53438e-06,TRUE
"ABCA7",2,3.73398e-10,TRUE
"ZNF556",2,3.49772e-14,TRUE
"STAP2",2,1.41664e-21,TRUE
"TMEM18",2,1.7321e-13,TRUE
"RRM2",2,9.96244e-07,TRUE
"RN7SL832P",1,2.44289e-08,TRUE
"RP11-791G15.2",1,4.79929e-07,TRUE
"GREB1",1,8.20531e-19,TRUE
"LPIN1",1,2.59668e-07,TRUE
"FAM84A",1,3.96238e-10,TRUE
"DDX1",1,9.41922e-28,TRUE
"RAD51AP2",1,9.06084e-08,TRUE
"VSNL1",1,2.64004e-14,TRUE
"GEN1",1,5.5744e-13,TRUE
"KCNS3",1,8.83577e-20,TRUE
"TTC32",1,3.27629e-11,TRUE
"C2orf43",1,5.86326e-26,TRUE
"UBXN2A",1,7.42928e-07,TRUE
"MFSD2B",1,5.14675e-07,TRUE
"FKBP1B",1,1.19436e-06,TRUE
"FAM228B",1,5.27648e-20,TRUE
"TP53I3",1,1.82051e-07,TRUE
"PFN4",1,1.62266e-09,TRUE
"RP11-507M3.1",1,2.41471e-26,TRUE
"FAM228A",1,1.53949e-44,TRUE
"CENPO",1,1.57877e-07,TRUE
"ADCY3",1,6.89634e-09,TRUE
"EFR3B",1,2.69996e-10,TRUE
"RP11-509E16.1",1,2.84996e-11,TRUE
"POMC",1,9.6788e-12,TRUE
"GAREML",1,2.67725e-10,TRUE
"GPR113",1,1.28517e-08,TRUE
"KHK",1,3.7264e-10,TRUE
"CGREF1",1,2.69434e-11,TRUE
"GPN1",1,1.26811e-08,TRUE
"PSMF1",1,6.1926e-07,TRUE
"SIRPA",1,1.82163e-06,TRUE
