"pair","gene","outcome_short","nsnp_susie","PP.H4_abf","PP.H4_susie","n_signal_pqtl","n_signal_gwas","ok","note"
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,9.00604168617321e-36,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,8.61652151511765e-57,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.32176785953453e-58,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.21814671957906e-58,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,6.97100914788156e-49,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,2.15650155874228e-104,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.3528689141764e-94,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,7.18768003647956e-112,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,7.77436062558488e-97,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,9.06176010507927e-110,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,0,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,7.8809044948813e-128,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.25090968258441e-156,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.98195395446099e-120,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,1.4134867572474e-117,5,5,TRUE,""
"APOC3×FBG(争议)","APOC3","FBG",300,0.177164387268565,2.87417854245434e-115,5,5,TRUE,""
"INSR×FBG(争议)","INSR","FBG",300,0.00965421541952593,NA,4,0,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,4.13675429926479e-176,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,1.12222955023244e-123,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,2.51600564616598e-243,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,9.37123301422724e-125,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,3.96738530568334e-70,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,2.57965139851382e-191,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,1.85246198743768e-118,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,8.86619696341084e-212,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,2.06476463395267e-144,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,5.35015092961394e-62,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,2.93339161255834e-25,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,1,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,2.64396050152855e-23,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,3.32706034295499e-25,5,3,TRUE,""
"APOC3×T2D(争议)","APOC3","T2D",300,0.107692517341556,3.90974884607325e-21,5,3,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,3.0603286523924e-111,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,9.0741904962123e-114,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,2.28635494170122e-94,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,6.22499588626472e-114,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,9.8518798701825e-110,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
"PCSK9×CAD(校准)","PCSK9","CAD",300,0.999999999999886,0,5,5,TRUE,""
