gene,symbol,outcome,n_tissue_any,n_tissue_lead,n_reinforced,n_consistent_ns
ENSG00000054356,PTPRN,cad,1,1,1,0
ENSG00000064999,ANKS1A,t2d,2,2,2,0
ENSG00000073614,KDM5A,t2d,3,1,1,0
ENSG00000079393,DUSP13,cad,1,0,0,0
ENSG00000085721,RRN3,t2d,5,0,0,0
ENSG00000090612,ZNF268,cad,5,1,0,1
ENSG00000100296,THOC5,cad,5,5,5,0
ENSG00000104497,SNX16,cad,6,4,4,0
ENSG00000105767,CADM4,cad,1,1,1,0
ENSG00000107779,BMPR1A,cad,4,4,4,0
ENSG00000107798,LIPA,cad,4,3,3,0
ENSG00000108219,TSPAN14,cad,1,0,0,0
ENSG00000108262,GIT1,t2d,1,1,1,0
ENSG00000108551,RASD1,cad,1,0,0,0
ENSG00000109670,FBXW7,t2d,1,1,1,0
ENSG00000109919,MTCH2,cad,1,0,0,0
ENSG00000111642,CHD4,t2d,1,1,1,0
ENSG00000111879,FAM184A,t2d,4,4,3,1
ENSG00000112282,MED23,t2d,2,1,1,0
ENSG00000118520,ARG1,t2d,1,1,1,0
ENSG00000118620,ZNF430,cad,2,1,0,1
ENSG00000119684,MLH3,cad,2,1,1,0
ENSG00000119718,EIF2B2,cad,6,3,3,0
ENSG00000122557,HERPUD2,t2d,4,2,2,0
ENSG00000130475,FCHO1,cad,2,2,2,0
ENSG00000130856,ZNF236,t2d,3,3,3,0
ENSG00000132128,LRRC41,cad,1,0,0,0
ENSG00000132793,LPIN3,cad,5,4,4,0
ENSG00000134802,SLC43A3,t2d,1,1,1,0
ENSG00000135070,ISCA1,fbg,1,0,0,0
ENSG00000136715,SAP130,cad,1,0,0,0
ENSG00000138131,LOXL4,cad,3,3,2,0
ENSG00000138160,KIF11,t2d,1,0,0,0
ENSG00000141452,C18orf8,t2d,5,4,3,1
ENSG00000142669,SH3BGRL3,t2d,2,1,0,1
ENSG00000144749,LRIG1,t2d,1,1,0,1
ENSG00000145214,DGKQ,cad,6,2,2,0
ENSG00000145375,SPATA5,t2d,1,1,1,0
ENSG00000145431,PDGFC,t2d,1,0,0,0
ENSG00000146830,GIGYF1,t2d,5,3,2,1
ENSG00000149084,HSD17B12,t2d,6,6,6,0
ENSG00000150627,WDR17,cad,5,4,3,1
ENSG00000151465,CDC123,cad,2,0,0,0
ENSG00000157045,NTAN1,t2d,4,2,1,1
ENSG00000160563,MED27,t2d,1,1,1,0
ENSG00000161277,THAP8,t2d,1,0,0,0
ENSG00000161395,PGAP3,cad,5,2,2,0
ENSG00000163257,DCAF16,t2d,5,5,5,0
ENSG00000163933,RFT1,t2d,5,4,4,0
ENSG00000164535,DAGLB,cad,6,6,6,0
ENSG00000165609,NUDT5,t2d,4,1,0,0
ENSG00000170145,SIK2,cad,1,1,1,0
ENSG00000181264,TMEM136,cad,4,3,3,0
ENSG00000183049,CAMK1D,t2d,4,1,1,0
ENSG00000187486,KCNJ11,t2d,3,2,1,1
ENSG00000187942,LDLRAD2,cad,1,0,0,0
ENSG00000196072,BLOC1S2,t2d,5,5,1,4
ENSG00000196378,ZNF34,t2d,6,5,5,0
ENSG00000196821,C6orf106,cad,4,4,3,0
ENSG00000198353,HOXC4,cad,3,1,1,0
ENSG00000205238,SPDYE2,t2d,1,0,0,0
ENSG00000213390,ARHGAP19,t2d,3,2,2,0
ENSG00000214413,BBIP1,t2d,4,0,0,0
ENSG00000215251,FASTKD5,cad,1,1,0,0
ENSG00000229666,MAST4-AS1,t2d,3,1,1,0
ENSG00000230069,LRRC37A15P,t2d,5,2,2,0
ENSG00000230224,PHBP9,t2d,3,3,3,0
ENSG00000235513,RP4-756G23.5,t2d,4,1,1,0
ENSG00000242142,SERBP1P3,t2d,6,6,6,0
ENSG00000246889,AP000487.5,cad,3,2,2,0
ENSG00000248971,KRT8P46,t2d,6,2,2,0
ENSG00000251288,RP11-10L12.2,t2d,1,1,1,0
ENSG00000253878,RP11-347C18.3,t2d,1,1,1,0
ENSG00000253981,ALG1L13P,t2d,4,3,3,0
ENSG00000256269,HMBS,cad,6,5,5,0
ENSG00000264508,Metazoa_SRP,cad,4,0,0,0
ENSG00000264584,Metazoa_SRP,cad,4,0,0,0
ENSG00000266173,STRADA,t2d,2,0,0,0
ENSG00000267342,RP11-552F3.10,cad,3,1,1,0
