"gene","symbol","outcome","nsnp","method","b","se","pval"
"ENSG00000004399","PLXND1","t2d",3,"Inverse variance weighted (fixed effects)",0.336510923861176,0.108066313085517,0.00184613343781958
"ENSG00000004399","PLXND1","t2d",3,"Weighted median",0.350400470642027,0.121346008888654,0.00388175540861561
"ENSG00000004399","PLXND1","t2d",3,"MR Egger",0.481947334740111,0.227882280008699,0.281183250183434
"ENSG00000005801","ZNF195","t2d",2,"Inverse variance weighted (fixed effects)",-0.126334476057331,0.0405495887897694,0.00183599076549309
"ENSG00000011405","PIK3C2A","t2d",6,"Inverse variance weighted (fixed effects)",-0.0264153986841424,0.0297521092902715,0.374621652073787
"ENSG00000011405","PIK3C2A","t2d",6,"Weighted median",-0.0312025552726404,0.0287275955531859,0.277411442999303
"ENSG00000011405","PIK3C2A","t2d",6,"MR Egger",-0.0374126161358692,0.0469576887100503,0.470221582990263
"ENSG00000029534","ANK1","t2d",3,"Inverse variance weighted (fixed effects)",0.449415886172474,0.0590991955547309,2.86155174034525e-14
"ENSG00000029534","ANK1","t2d",3,"Weighted median",0.450140165616691,0.0642446307104068,2.44077633546328e-12
"ENSG00000029534","ANK1","t2d",3,"MR Egger",0.453392437783222,0.127305231437776,0.174265324377386
"ENSG00000052749","RRP12","t2d",6,"Inverse variance weighted (fixed effects)",-0.0426206406994098,0.0232865744275767,0.067210074872378
"ENSG00000052749","RRP12","t2d",6,"Weighted median",-0.040268625482133,0.0249537268784877,0.106585588045688
"ENSG00000052749","RRP12","t2d",6,"MR Egger",-0.0803322474326774,0.0622085015245293,0.266156553798185
"ENSG00000055147","FAM114A2","t2d",2,"Inverse variance weighted (fixed effects)",0.363359904364429,0.0960688688653499,0.000155394889108507
"ENSG00000055483","USP36","t2d",3,"Inverse variance weighted (fixed effects)",-0.0362132192503309,0.0378612353626015,0.338833720741461
"ENSG00000055483","USP36","t2d",3,"Weighted median",-0.0358450146106523,0.0388413437187536,0.356081615384672
"ENSG00000055483","USP36","t2d",3,"MR Egger",-0.0347014006463743,0.0587585258616996,0.660387802769709
"ENSG00000057294","PKP2","t2d",4,"Inverse variance weighted (fixed effects)",-0.24133039278422,0.0650774315550558,0.000208607857282819
"ENSG00000057294","PKP2","t2d",4,"Weighted median",-0.254890337503836,0.0676503410016308,0.000164718082581406
"ENSG00000057294","PKP2","t2d",4,"MR Egger",-0.314002718030366,0.114563807325956,0.111323719529188
"ENSG00000064651","SLC12A2","t2d",4,"Inverse variance weighted (fixed effects)",0.231606164790289,0.0725566578432217,0.00141255517726404
"ENSG00000064651","SLC12A2","t2d",4,"Weighted median",0.22844252874709,0.0766640304801927,0.00288448296671849
"ENSG00000064651","SLC12A2","t2d",4,"MR Egger",0.450883373255099,0.133747616970186,0.0778549104488669
"ENSG00000064999","ANKS1A","t2d",4,"Inverse variance weighted (fixed effects)",-0.455401086492398,0.115573384344231,8.13584066851967e-05
"ENSG00000064999","ANKS1A","t2d",4,"Weighted median",-0.505328767831805,0.124176339623138,4.71252894171322e-05
"ENSG00000064999","ANKS1A","t2d",4,"MR Egger",-0.624201001472444,0.268567672582783,0.14571855054832
"ENSG00000065665","SEC61A2","t2d",4,"Inverse variance weighted (fixed effects)",-0.0431580450371542,0.0287539654961004,0.133370468761438
"ENSG00000065665","SEC61A2","t2d",4,"Weighted median",-0.072551134035939,0.0305619331158294,0.0176010656038263
"ENSG00000065665","SEC61A2","t2d",4,"MR Egger",-0.101989301075503,0.10632446490225,0.438666035721752
"ENSG00000069248","NUP133","t2d",2,"Inverse variance weighted (fixed effects)",-0.146589349932848,0.052419646514668,0.00516660950389729
"ENSG00000072110","ACTN1","t2d",2,"Inverse variance weighted (fixed effects)",0.370465838806738,0.0917135967191357,5.3593250023387e-05
"ENSG00000072310","SREBF1","t2d",4,"Inverse variance weighted (fixed effects)",-0.206115357083657,0.0376651851773318,4.44221044106012e-08
"ENSG00000072310","SREBF1","t2d",4,"Weighted median",-0.195310299662851,0.0381345881235595,3.02945867309685e-07
"ENSG00000072310","SREBF1","t2d",4,"MR Egger",-0.104952575411066,0.0860779179421756,0.347022137855573
"ENSG00000073803","MAP3K13","t2d",2,"Inverse variance weighted (fixed effects)",-0.5186501510962,0.100445190498564,2.42356397960235e-07
"ENSG00000073849","ST6GAL1","t2d",3,"Inverse variance weighted (fixed effects)",0.185476471016391,0.039511435536187,2.675894533329e-06
"ENSG00000073849","ST6GAL1","t2d",3,"Weighted median",0.204551076424684,0.0422023061258462,1.2539483597264e-06
"ENSG00000073849","ST6GAL1","t2d",3,"MR Egger",0.360236891806287,0.115201589022089,0.197044036861389
"ENSG00000075234","TTC38","t2d",3,"Inverse variance weighted (fixed effects)",-0.20791868045492,0.0462505243126782,6.94105488226888e-06
"ENSG00000075234","TTC38","t2d",3,"Weighted median",-0.207361497192886,0.0485036763912182,1.90990885581414e-05
"ENSG00000075234","TTC38","t2d",3,"MR Egger",-0.248274012762615,0.169875475806087,0.38201043716518
"ENSG00000079459","FDFT1","t2d",6,"Inverse variance weighted (fixed effects)",0.0523185891163924,0.0254962295979614,0.0401684198806808
"ENSG00000079459","FDFT1","t2d",6,"Weighted median",0.0497401729627522,0.030804922193868,0.106379439769031
"ENSG00000079459","FDFT1","t2d",6,"MR Egger",0.120073266087198,0.0536133704054056,0.0886598678307761
"ENSG00000081026","MAGI3","t2d",2,"Inverse variance weighted (fixed effects)",-1.01921284622031,0.245541849642451,3.31210627384781e-05
"ENSG00000081320","STK17B","t2d",3,"Inverse variance weighted (fixed effects)",0.158840989937247,0.0489587391485868,0.00117704611112954
"ENSG00000081320","STK17B","t2d",3,"Weighted median",0.157564868744356,0.0511139510481596,0.00205187240647985
"ENSG00000081320","STK17B","t2d",3,"MR Egger",0.193454846183547,0.264887932274601,0.598425890008532
"ENSG00000085721","RRN3","t2d",2,"Inverse variance weighted (fixed effects)",0.20621936113431,0.0512156320363075,5.66150309741804e-05
"ENSG00000086619","ERO1LB","t2d",2,"Inverse variance weighted (fixed effects)",0.202986598663706,0.0525696888703973,0.000112791823044484
"ENSG00000087448","KLHL42","t2d",3,"Inverse variance weighted (fixed effects)",0.287636486820605,0.0476343083041221,1.55619886672332e-09
"ENSG00000087448","KLHL42","t2d",3,"Weighted median",0.287778124428742,0.0511432062188037,1.83468343502819e-08
"ENSG00000087448","KLHL42","t2d",3,"MR Egger",0.53098885207232,0.0904621845199788,0.107426642449783
"ENSG00000095485","CWF19L1","t2d",6,"Inverse variance weighted (fixed effects)",-0.043789150915646,0.0345889261095963,0.205517528311607
"ENSG00000095485","CWF19L1","t2d",6,"Weighted median",-0.0403662267591407,0.0356052997413134,0.25691453552704
"ENSG00000095485","CWF19L1","t2d",6,"MR Egger",-0.0095812252033609,0.0753469479460294,0.904948855911055
"ENSG00000095637","SORBS1","t2d",2,"Inverse variance weighted (fixed effects)",0.51186117848276,0.156137520349929,0.00104444896761276
"ENSG00000100347","SAMM50","t2d",3,"Inverse variance weighted (fixed effects)",-0.0731640531860514,0.123577085049248,0.553815806799714
"ENSG00000100347","SAMM50","t2d",3,"Weighted median",0.0199602731734721,0.143610991041777,0.889459253322597
"ENSG00000100347","SAMM50","t2d",3,"MR Egger",0.92177663522655,0.590201234187762,0.362565458035521
