"gene","outcome","nsnp","b","se","pval","method","ok","note"
"CETP","ebi-a-GCST006867",3,0.145219990814502,0.00396814305818897,3.25594435992085e-293,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"HMGCR","ebi-a-GCST006867",3,-0.433022813652279,0.0303037158411034,2.54686970830935e-46,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A2MP1","ebi-a-GCST006867",3,0.0183504422248447,0.00253991404270107,5.01736271160558e-13,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A4GALT","ebi-a-GCST006867",2,-0.0037298620210562,0.000514284246312318,4.09057036729233e-13,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AAGAB","ebi-a-GCST006867",3,0.0333283944300872,0.000897240484399095,5.19350692244696e-302,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AAR2","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"无结局匹配"
"AASDH","ebi-a-GCST006867",3,0.0104699923389119,0.000691391675975192,8.3820858275548e-52,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AATK","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"无结局匹配"
"ABAT","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"无结局匹配"
"ABCC3","ebi-a-GCST006867",3,0.0386947475961049,0.000855280451332864,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC4","ebi-a-GCST006867",3,0.0344029886567581,0.00330636533517943,2.35063920822499e-25,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC5","ebi-a-GCST006867",3,0.0168026633466141,0.000342035947289015,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CETP","ebi-a-GCST005194",3,0.282539871570998,0.00215204946613292,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"HMGCR","ebi-a-GCST005194",3,-0.00208232867388443,0.0240069146257471,0.930879210590202,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A2MP1","ebi-a-GCST005194",3,-0.000915484595184675,0.000596677491084774,0.12495490939017,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A4GALT","ebi-a-GCST005194",2,0.0126025698549999,0.000116015902106251,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AAGAB","ebi-a-GCST005194",3,-0.0164840559772737,0.000492267710204056,7.7170064068571e-246,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AAR2","ebi-a-GCST005194",3,-0.112593117927101,0.0103948135708387,2.43688737140821e-27,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AASDH","ebi-a-GCST005194",3,-0.0089865662268117,0.000231804592897456,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AATK","ebi-a-GCST005194",2,0.00210718713284772,0.000107248330654072,6.04469212839773e-86,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABAT","ebi-a-GCST005194",2,-0.0222905681274583,0.0315518079784119,0.479892703991033,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC3","ebi-a-GCST005194",3,-0.00456979411120418,0.000872846408181013,1.64531944210147e-07,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC4","ebi-a-GCST005194",3,0.00952910421979136,0.000563391436563857,3.55842492808531e-64,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC5","ebi-a-GCST005194",3,0.00190346840660405,0.000342495266046367,2.73432845271581e-08,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CETP","ebi-a-GCST005186",3,0.0654259619119541,0.00570643595552961,1.97090727560623e-30,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"HMGCR","ebi-a-GCST005186",3,-0.0890513377850979,0.00336632648324891,3.31990738236053e-154,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A2MP1","ebi-a-GCST005186",3,0.0122527101982257,0.00198095482323108,6.20022657979606e-10,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"A4GALT","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"arguments imply differing number of rows: 1, 0"
"AAGAB","ebi-a-GCST005186",3,-0.00898294502772365,9.31847021788744e-05,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AAR2","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"arguments imply differing number of rows: 1, 0"
"AASDH","ebi-a-GCST005186",3,0.00226324626415886,0.0022670027140892,0.318113068862419,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AATK","ebi-a-GCST005186",2,0.00966377761361066,7.63769307407662e-05,0,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABAT","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"无结局匹配"
"ABCC3","ebi-a-GCST005186",3,0.00122280183941206,0.00137024990683827,0.372182159784654,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC4","ebi-a-GCST005186",3,0.00960661246898668,0.000647095316843367,7.41260143676545e-50,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"ABCC5","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"arguments imply differing number of rows: 1, 0"
