"gene","outcome","nsnp","b","se","pval","method","ok","note"
"CETP","ebi-a-GCST006867",3,0.139821725691856,0.0807183330805394,0.0832348078304355,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CETP","ebi-a-GCST006867",3,0.139821725691856,0.0646974199087792,0.0306826840813698,"Inverse variance weighted (fixed effects)",TRUE,""
"CETP","ebi-a-GCST006867",3,0.16024521955561,0.0689206138940493,0.0200682424614606,"Weighted median",TRUE,""
"CETP","ebi-a-GCST006867",3,0.348256748862707,0.156249942759133,0.268489028383214,"MR Egger",TRUE,""
"HMGCR","ebi-a-GCST006867",1,NA,NA,NA,NA,FALSE,"MR 无输出"
"CASP7","ebi-a-GCST006867",5,0.040071542334558,0.0358031171028576,0.263046561866403,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CASP7","ebi-a-GCST006867",5,0.040071542334558,0.0273952234919567,0.143544000965336,"Inverse variance weighted (fixed effects)",TRUE,""
"CASP7","ebi-a-GCST006867",5,0.0390477469918514,0.0300589582617459,0.193930683400425,"Weighted median",TRUE,""
"CASP7","ebi-a-GCST006867",5,0.121884319453642,0.0958989578033495,0.293342061000104,"MR Egger",TRUE,""
"SFXN4","ebi-a-GCST006867",8,-0.0273785221812824,0.0311455256150755,0.379373332546087,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"SFXN4","ebi-a-GCST006867",8,-0.0273785221812824,0.0235014478787044,0.244030439888183,"Inverse variance weighted (fixed effects)",TRUE,""
"SFXN4","ebi-a-GCST006867",8,-0.0382513920173445,0.0312105401512554,0.220352205315032,"Weighted median",TRUE,""
"SFXN4","ebi-a-GCST006867",8,-0.0392557534235056,0.0634764996205345,0.559021967728535,"MR Egger",TRUE,""
"NANOS1","ebi-a-GCST006867",1,NA,NA,NA,NA,FALSE,"MR 无输出"
"PLEKHA1","ebi-a-GCST006867",3,0.153522582317204,0.033979252680358,6.23890322521406e-06,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"PLEKHA1","ebi-a-GCST006867",3,0.153522582317204,0.0462477622222561,0.000901569089347567,"Inverse variance weighted (fixed effects)",TRUE,""
"PLEKHA1","ebi-a-GCST006867",3,0.152167880570863,0.0475560183330409,0.00137541713068611,"Weighted median",TRUE,""
"PLEKHA1","ebi-a-GCST006867",3,0.0927264468284991,0.0763381712101254,0.438481477731182,"MR Egger",TRUE,""
"LHPP","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"
Status code from OpenGWAS API: 401

Message: {""message"":""Unknown error.""}"
"DHX32","ebi-a-GCST006867",2,-0.0274214668696333,0.0351162198437103,0.434874531411392,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"DHX32","ebi-a-GCST006867",2,-0.0274214668696333,0.0649841272428397,0.673045626594871,"Inverse variance weighted (fixed effects)",TRUE,""
"UROS","ebi-a-GCST006867",2,-0.0153507028017863,0.101184700289936,0.879415888497973,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"UROS","ebi-a-GCST006867",2,-0.0153507028017863,0.135120211408654,0.909548745843087,"Inverse variance weighted (fixed effects)",TRUE,""
"MTG1","ebi-a-GCST006867",1,NA,NA,NA,NA,FALSE,"MR 无输出"
"AKR1C2","ebi-a-GCST006867",8,-0.0603420119884648,0.0319781005878641,0.059163117780278,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AKR1C2","ebi-a-GCST006867",8,-0.0603420119884648,0.042221065291903,0.15294903436624,"Inverse variance weighted (fixed effects)",TRUE,""
"AKR1C2","ebi-a-GCST006867",8,-0.0296813423072599,0.0480160063968922,0.536473061996457,"Weighted median",TRUE,""
"AKR1C2","ebi-a-GCST006867",8,0.0130900929075099,0.0724122404802296,0.862498229130069,"MR Egger",TRUE,""
"NCOA4","ebi-a-GCST006867",1,NA,NA,NA,NA,FALSE,"MR 无输出"
"CETP","ebi-a-GCST005194",5,0.138084419468387,0.109040711184167,0.205385457293032,"Inverse variance weighted (multiplicative random effects)",TRUE,""
