stratum,n,strong,strong_rate
mr_p<0.5,18542,131,0.00707
mr_p<0.05,4248,129,0.03037
mr_p<0.01,1907,125,0.06555
mr_p<0.005,1442,125,0.08669
mr_p<0.001,810,120,0.14815
mr_p<0.0005,669,117,0.17489
mr_p<0.0001,427,105,0.2459
mr_p<1e-05,254,65,0.25591
mr_p<0.05 & gwas_min_p<5e-08,1106,47,0.0425
mr_p<0.05 & gwas_min_p<1e-06,1523,72,0.04728
mr_p<0.05 & gwas_min_p<1e-05,2069,93,0.04495
mr_p<0.05 & gwas_min_p<0.0001,2876,128,0.04451
mr_p<0.05 & gwas_min_p<0.001,3894,129,0.03313
mr_p<0.05 & gwas_min_p<0.01,4237,129,0.03045
mr_p<0.05 & gwas_min_p<1.0,4248,129,0.03037
stage2_grid(M5),818,106,0.12958
full_scan_sig,4248,129,0.03037
all_QC,31371,131,0.00418
nsig(0.05-0.5),14294,2,0.00014
null(>=0.5),12829,0,0.0
