gene,symbol,outcome,mr_p,abf_pp4,w,susie_pp4,n_snps,conv_eqtl,conv_gwas,cs_eqtl,cs_gwas,note
ENSG00000004534,RBM6,t2d,1.022e-05,0.9448,0.000,NA,927,NA,NA,NA,NA,FAILED susie_rss
ENSG00000004534,RBM6,t2d,1.022e-05,0.9448,0.050,1.0000,927,TRUE,TRUE,10,10,OK
ENSG00000004534,RBM6,t2d,1.022e-05,0.9448,0.100,1.0000,927,TRUE,TRUE,10,10,OK
ENSG00000004534,RBM6,t2d,1.022e-05,0.9448,0.200,1.0000,927,TRUE,TRUE,10,10,OK
ENSG00000134256,CD101,t2d,0.0001164,0.9488,0.000,1.0000,1653,FALSE,FALSE,10,8,OK
ENSG00000134256,CD101,t2d,0.0001164,0.9488,0.050,1.0000,1653,TRUE,TRUE,10,10,OK
ENSG00000134256,CD101,t2d,0.0001164,0.9488,0.100,1.0000,1653,TRUE,TRUE,10,10,OK
ENSG00000134256,CD101,t2d,0.0001164,0.9488,0.200,1.0000,1653,TRUE,TRUE,10,10,OK
ENSG00000148842,CNNM2,cad,9.85e-15,0.9366,0.000,0.9995,2557,FALSE,TRUE,10,7,OK
ENSG00000148842,CNNM2,cad,9.85e-15,0.9366,0.050,0.9994,2557,TRUE,TRUE,10,10,OK
ENSG00000148842,CNNM2,cad,9.85e-15,0.9366,0.100,1.0000,2557,TRUE,TRUE,10,10,OK
ENSG00000148842,CNNM2,cad,9.85e-15,0.9366,0.200,0.9992,2557,TRUE,TRUE,10,10,OK
ENSG00000011422,PLAUR,cad,2.005e-06,0.9957,0.000,0.9990,3236,TRUE,FALSE,10,9,OK
ENSG00000011422,PLAUR,cad,2.005e-06,0.9957,0.050,0.4134,3236,TRUE,TRUE,10,1,OK
ENSG00000011422,PLAUR,cad,2.005e-06,0.9957,0.100,0.2031,3236,TRUE,TRUE,10,1,OK
ENSG00000011422,PLAUR,cad,2.005e-06,0.9957,0.200,NA,3236,TRUE,TRUE,10,0,OK
ENSG00000177963,RIC8A,cad,4.875e-05,0.8895,0.000,1.0000,2044,TRUE,TRUE,3,3,OK
ENSG00000177963,RIC8A,cad,4.875e-05,0.8895,0.050,1.0000,2044,TRUE,TRUE,10,10,OK
ENSG00000177963,RIC8A,cad,4.875e-05,0.8895,0.100,1.0000,2044,TRUE,TRUE,10,10,OK
ENSG00000177963,RIC8A,cad,4.875e-05,0.8895,0.200,1.0000,2044,TRUE,TRUE,10,10,OK
ENSG00000135862,LAMC1,cad,0.004735,0.9139,0.000,0.0000,3063,FALSE,FALSE,8,3,OK
ENSG00000135862,LAMC1,cad,0.004735,0.9139,0.050,1.0000,3063,TRUE,TRUE,10,10,OK
ENSG00000135862,LAMC1,cad,0.004735,0.9139,0.100,1.0000,3063,TRUE,TRUE,10,9,OK
ENSG00000135862,LAMC1,cad,0.004735,0.9139,0.200,0.9990,3063,TRUE,TRUE,10,9,OK
