symbol,threshold,in_network,rwr_score,rank,module,module_n,module_seed_frac,perm_p,perm_z
C2orf49,400,True,1.032835360722182e-06,13708.0,9.0,1003.0,0.004985044865403789,0.18811881188118812,-0.26362931822091223
CCDC19,400,False,,,,,,,
CD101,400,True,7.787755444217002e-07,14794.0,5.0,2759.0,0.002899601304820587,0.18811881188118812,-0.26362931822091223
CLEC3B,400,True,8.575758129573979e-07,14439.0,5.0,2759.0,0.002899601304820587,0.18811881188118812,-0.26362931822091223
CNNM2,400,True,2.846310968830235e-06,9447.0,7.0,4001.0,0.002749312671832042,0.18811881188118812,-0.26362931822091223
CWF19L1,400,True,5.534661758061947e-06,6760.0,9.0,1003.0,0.004985044865403789,0.18811881188118812,-0.26362931822091223
N4BP2L2,400,True,8.912608031362891e-07,14293.0,2.0,2436.0,0.004105090311986864,0.18811881188118812,-0.26362931822091223
PDCD6,400,True,5.912275574363269e-06,6524.0,0.0,1220.0,0.005737704918032787,0.18811881188118812,-0.26362931822091223
PLAUR,400,True,7.714021878118311e-06,5722.0,5.0,2759.0,0.002899601304820587,0.18811881188118812,-0.26362931822091223
RBM6,400,True,1.0654004553034134e-06,13600.0,4.0,1259.0,0.004765687053216839,0.18811881188118812,-0.26362931822091223
RIC8A,400,True,3.3354426895798068e-06,8723.0,7.0,4001.0,0.002749312671832042,0.18811881188118812,-0.26362931822091223
SLC12A3,400,True,4.534176389874708e-06,7479.0,7.0,4001.0,0.002749312671832042,0.18811881188118812,-0.26362931822091223
TAGLN2,400,True,0.00015452020558913334,309.0,7.0,4001.0,0.002749312671832042,0.18811881188118812,-0.26362931822091223
U6atac,400,False,,,,,,,
VSIG8,400,True,3.4212711036568e-07,17233.0,11.0,366.0,0.0,0.18811881188118812,-0.26362931822091223
C2orf49,700,True,1.7904659182375002e-07,11999.0,51.0,884.0,0.004524886877828055,0.6237623762376238,-0.2802811310965018
CCDC19,700,False,,,,,,,
CD101,700,True,9.220405245978402e-09,15276.0,28.0,1891.0,0.0037017451084082496,0.6237623762376238,-0.2802811310965018
CLEC3B,700,True,2.0603565943725245e-07,11765.0,22.0,628.0,0.0031847133757961785,0.6237623762376238,-0.2802811310965018
CNNM2,700,True,1.160157516840191e-06,8347.0,19.0,1600.0,0.004375,0.6237623762376238,-0.2802811310965018
CWF19L1,700,True,7.360543498222486e-08,13405.0,51.0,884.0,0.004524886877828055,0.6237623762376238,-0.2802811310965018
N4BP2L2,700,True,1.1881083146689312e-08,15154.0,18.0,378.0,0.0,0.6237623762376238,-0.2802811310965018
PDCD6,700,True,1.6522713503990664e-05,2114.0,9.0,679.0,0.005891016200294551,0.6237623762376238,-0.2802811310965018
PLAUR,700,True,8.110658445735912e-06,3230.0,22.0,628.0,0.0031847133757961785,0.6237623762376238,-0.2802811310965018
RBM6,700,True,,,-1.0,,,0.6237623762376238,-0.2802811310965018
RIC8A,700,True,3.0595301422690185e-06,5790.0,5.0,856.0,0.002336448598130841,0.6237623762376238,-0.2802811310965018
SLC12A3,700,True,6.654186178921485e-07,9575.0,52.0,2754.0,0.004720406681190995,0.6237623762376238,-0.2802811310965018
TAGLN2,700,True,1.2542431423399609e-05,2442.0,23.0,990.0,0.0030303030303030303,0.6237623762376238,-0.2802811310965018
U6atac,700,False,,,,,,,
VSIG8,700,True,,,-1.0,,,0.6237623762376238,-0.2802811310965018
