symbol,in_decode,in_ukbpp,pqtl_available,note
C2orf49,False,False,False,no local pQTL; OpenGWAS API unreachable
CCDC19,False,False,False,no local pQTL; OpenGWAS API unreachable
CD101,False,False,False,no local pQTL; OpenGWAS API unreachable
CLEC3B,False,False,False,no local pQTL; OpenGWAS API unreachable
CNNM2,False,False,False,no local pQTL; OpenGWAS API unreachable
CWF19L1,False,False,False,no local pQTL; OpenGWAS API unreachable
N4BP2L2,False,False,False,no local pQTL; OpenGWAS API unreachable
PDCD6,False,False,False,no local pQTL; OpenGWAS API unreachable
PLAUR,False,False,False,no local pQTL; OpenGWAS API unreachable
RBM6,False,False,False,no local pQTL; OpenGWAS API unreachable
RIC8A,False,False,False,no local pQTL; OpenGWAS API unreachable
SLC12A3,False,False,False,no local pQTL; OpenGWAS API unreachable
TAGLN2,False,False,False,no local pQTL; OpenGWAS API unreachable
U6atac,False,False,False,no local pQTL; OpenGWAS API unreachable
VSIG8,False,False,False,no local pQTL; OpenGWAS API unreachable
