set,cell_type,overlap,k,n_markers,n_genes,n_universe,frac,pval,fdr,neglog10p
known106,Nuocytes,ARG1,1,12,105,4345,0.009523809523809525,0.254668886212685,0.9956890709741295,0.5940241110691523
known106,Crypt cells,LRIG1,1,16,105,4345,0.009523809523809525,0.32435360076803227,0.9956890709741295,0.488981276445002
known106,Adipocyte progenitor cells,HOXC4,1,23,105,4345,0.009523809523809525,0.43111915648660737,0.9956890709741295,0.3654026791373284
known106,Peritubular myoid cells,RASD1,1,25,105,4345,0.009523809523809525,0.4584276492162977,0.9956890709741295,0.338729196581804
known106,Glomus cells,KCNJ11,1,28,105,4345,0.009523809523809525,0.49697396368881147,0.9956890709741295,0.3036663632233467
known106,Erythroid-like and erythroid precursor cells,ARG1;HMBS,2,70,105,4345,0.01904761904761905,0.5084901197065504,0.9956890709741295,0.29371748128324743
known106,Hepatic stellate cells,MYB,1,46,105,4345,0.009523809523809525,0.6773591462089446,0.9956890709741295,0.16918100065133307
known106,Alpha cells,LOXL4,1,47,105,4345,0.009523809523809525,0.6852394182833945,0.9956890709741295,0.16415766227020637
known106,Schwann cells,CADM4,1,47,105,4345,0.009523809523809525,0.6852394182833945,0.9956890709741295,0.16415766227020637
known106,Ependymal cells,MYB,1,56,105,4345,0.009523809523809525,0.7481075295762036,0.9956890709741295,0.12603597413388254
known106,Mesangial cells,RASD1,1,57,105,4345,0.009523809523809525,0.7542741673459632,0.9956890709741295,0.12247076590359028
known106,Enteric neurons,PARVA,1,69,105,4345,0.009523809523809525,0.8175769249080126,0.9956890709741295,0.08747137445806451
known106,Retinal ganglion cells,SNX16,1,69,105,4345,0.009523809523809525,0.8175769249080126,0.9956890709741295,0.08747137445806451
known106,T cells,MYB,1,95,105,4345,0.009523809523809525,0.90460836778689,0.9956890709741295,0.043539399270993304
known106,Dendritic cells,ARG1,1,121,105,4345,0.009523809523809525,0.9503188893039141,0.9956890709741295,0.022130638262476892
known106,Germ cells,MLH3,1,147,105,4345,0.009523809523809525,0.9742307994899723,0.9956890709741295,0.011338144691263988
known106,Hepatocytes,ARG1,1,149,105,4345,0.009523809523809525,0.9755039019898495,0.9956890709741295,0.01077098909952887
known106,Neurons,FBXW7,1,203,105,4345,0.009523809523809525,0.9938207122321546,0.9956890709741295,0.002691956358450017
known106,Interneurons,ISCA1,1,217,105,4345,0.009523809523809525,0.9956890709741295,0.9956890709741295,0.0018762598112507182
candidate15,Distal tubule cells,SLC12A3,1,42,15,4345,0.06666666666666667,0.13578696661257247,0.27409772075660754,0.8671419134125297
candidate15,Loop of Henle cells,SLC12A3,1,53,15,4345,0.06666666666666667,0.16839115796665982,0.27409772075660754,0.7736807165602706
candidate15,Leydig cells,PLAUR,1,54,15,4345,0.06666666666666667,0.17129752624030856,0.27409772075660754,0.7662489087679452
candidate15,Microglia,CLEC3B,1,71,15,4345,0.06666666666666667,0.21927817660528603,0.27409772075660754,0.6590045888036322
candidate15,Fibroblasts,CLEC3B,1,171,15,4345,0.06666666666666667,0.4529726744945182,0.4529726744945182,0.34392799594342804
