gene,symbol,outcome,pp4,tier,ok,pp4_enr,set,mr_b,mr_p,is_new
ENSG00000054356,PTPRN,cad,0.944339625573639,strong,True,0.9978513000818574,known,,,
ENSG00000056586,RC3H2,t2d,0.817415181215947,strong,True,0.991905605999142,known,,,
ENSG00000064999,ANKS1A,t2d,0.8935332822457,strong,True,0.9956658019506838,known,,,
ENSG00000073614,KDM5A,t2d,0.816740225694258,strong,True,0.9918692676395402,known,,,
ENSG00000079393,DUSP13,cad,0.872879144250486,strong,True,0.9947076303522903,known,,,
ENSG00000085721,RRN3,t2d,0.923805536292926,strong,True,0.9969958043250554,known,,,
ENSG00000090612,ZNF268,cad,0.867457634253687,strong,True,0.9944488759109559,known,,,
ENSG00000100296,THOC5,cad,0.9227176976172,strong,True,0.9969494624514702,known,,,
ENSG00000104497,SNX16,cad,0.87381104158605,strong,True,0.9947517974270788,known,,,
ENSG00000105767,CADM4,cad,0.995684672419698,strong,True,0.9998416874962227,known,,,
ENSG00000107779,BMPR1A,cad,0.909761693477387,strong,True,0.9963893582439131,known,,,
ENSG00000107798,LIPA,cad,0.998932758088505,strong,True,0.9999609697174113,known,,,
ENSG00000108219,TSPAN14,cad,0.995904563349378,strong,True,0.9998497863918057,known,,,
ENSG00000108262,GIT1,t2d,0.893666795884946,strong,True,0.9956718576057668,known,,,
ENSG00000108551,RASD1,cad,0.98599491492195,strong,True,0.999481345919464,known,,,
ENSG00000109670,FBXW7,t2d,0.924611236013898,strong,True,0.9970300595716713,known,,,
ENSG00000109919,MTCH2,cad,0.902287924015749,strong,True,0.9960592372198256,known,,,
ENSG00000111642,CHD4,t2d,0.963192794374054,strong,True,0.9986058620048819,known,,,
ENSG00000111879,FAM184A,t2d,0.900030148999246,strong,True,0.9959584751942427,known,,,
ENSG00000112282,MED23,t2d,0.982610204476408,strong,True,0.9993538631190761,known,,,
ENSG00000118513,MYB,cad,0.812564047232375,strong,True,0.9916431474296067,known,,,
ENSG00000118520,ARG1,t2d,0.998466865293651,strong,True,0.9999439062692,known,,,
ENSG00000118620,ZNF430,cad,0.811586798031648,strong,True,0.9915899130382871,known,,,
ENSG00000119684,MLH3,cad,0.874624754952309,strong,True,0.9947902894252175,known,,,
ENSG00000119718,EIF2B2,cad,0.96092281304837,strong,True,0.9985165187129611,known,,,
ENSG00000122557,HERPUD2,t2d,0.93119066276845,strong,True,0.9973076597327332,known,,,
ENSG00000130475,FCHO1,cad,0.953262705133287,strong,True,0.99821200710329,known,,,
ENSG00000130856,ZNF236,t2d,0.935529413476269,strong,True,0.9974886677425839,known,,,
ENSG00000132128,LRRC41,cad,0.909483076324573,strong,True,0.9963771450163618,known,,,
ENSG00000132793,LPIN3,cad,0.95620440896145,strong,True,0.9983295034401087,known,,,
ENSG00000134802,SLC43A3,t2d,0.808063064750858,strong,True,0.9913969409473014,known,,,
ENSG00000135070,ISCA1,fbg,0.919356981115333,strong,True,0.9968056307871608,known,,,
ENSG00000136715,SAP130,cad,0.82152618661109,strong,True,0.9921257024358612,known,,,
ENSG00000138131,LOXL4,cad,0.944391116585441,strong,True,0.9978534003556729,known,,,
ENSG00000138160,KIF11,t2d,0.882591554243968,strong,True,0.9951635570940843,known,,,
ENSG00000141452,C18orf8,t2d,0.988627669745569,strong,True,0.9995799255597537,known,,,
ENSG00000142669,SH3BGRL3,t2d,0.991344131888493,strong,True,0.9996811108768715,known,,,
ENSG00000144749,LRIG1,t2d,0.922057550649883,strong,True,0.9969212890167051,known,,,
ENSG00000145214,DGKQ,cad,0.818021237058054,strong,True,0.991938186094267,known,,,
ENSG00000145375,SPATA5,t2d,0.915979967524608,strong,True,0.9966600807801419,known,,,
ENSG00000145431,PDGFC,t2d,0.943693907632831,strong,True,0.9978249430985447,known,,,
ENSG00000146830,GIGYF1,t2d,0.998349762147204,strong,True,0.9999396149222249,known,,,
ENSG00000148572,NRBF2,t2d,0.811401104931589,strong,True,0.9915797837952398,known,,,
ENSG00000149084,HSD17B12,t2d,0.800204188355584,strong,True,0.9909607160746972,known,,,
ENSG00000150627,WDR17,cad,0.880246872223885,strong,True,0.9950543746021415,known,,,
ENSG00000151465,CDC123,cad,0.917774247428539,strong,True,0.9967375427006397,known,,,
ENSG00000157045,NTAN1,t2d,0.814925986106974,strong,True,0.9917713072439243,known,,,
ENSG00000160563,MED27,t2d,0.926102331834865,strong,True,0.9970933041775253,known,,,
ENSG00000161277,THAP8,t2d,0.950912141070469,strong,True,0.9981176193521558,known,,,
ENSG00000161395,PGAP3,cad,0.890020029782919,strong,True,0.9955058283674041,known,,,
ENSG00000163257,DCAF16,t2d,0.83892141295213,strong,True,0.993034171864378,known,,,
