gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000246889,AP000487.5,cad,-0.379414119776061,2.72569946963114e-06,0.0003332849026491,8.319e-07,7.6992,6028.0,0.93370368573713,fdr_core_strong,strong (FDR-core)
ENSG00000107779,BMPR1A,cad,-0.22037680189226,4.38482803817187e-05,0.0030784010432581,3.928e-05,11.5292,4912.0,0.909761693477387,fdr_core_strong,strong (FDR-core)
ENSG00000188277,C15orf62,cad,0.924168343539224,7.68832631050687e-06,0.0007674204894834,4.326e-07,6.5289,4477.0,0.809719023774493,fdr_core_strong,strong (FDR-core)
ENSG00000196821,C6orf106,cad,0.242204302524552,3.58742698043695e-09,1.2241468856732876e-06,2.151e-11,41.0453,6180.0,0.894115644262981,fdr_core_strong,strong (FDR-core)
ENSG00000105767,CADM4,cad,0.619919836634753,2.00478689359048e-06,0.0002603206910588,1.808e-06,11.3502,5812.0,0.995682040058074,fdr_core_strong,strong (FDR-core)
ENSG00000213085,CCDC19,cad,0.222313298523997,2.6294716027882e-05,0.0020306440435637,2.348e-05,17.9384,5507.0,0.946245942458657,fdr_core_strong,strong (FDR-core)
ENSG00000151465,CDC123,cad,0.12859434266703,1.61268621258755e-08,4.382026814314282e-06,6.377e-10,29.9047,6977.0,0.917774247428539,fdr_core_strong,strong (FDR-core)
ENSG00000148842,CNNM2,cad,1.88622481195701,9.85010679950938e-15,2.8906123413840223e-11,4.67e-15,6.1715,4329.0,0.936554980592514,fdr_core_strong,strong (FDR-core)
ENSG00000245556,CTD-2037K23.2,cad,0.0900678458235267,6.33424836662398e-05,0.0040943800124878,9.026e-06,20.7516,5439.0,0.811992511905522,fdr_core_strong,strong (FDR-core)
ENSG00000248677,CTD-2044J15.1,cad,0.245261592940675,0.0009908800950798,0.0316757813401,1.26e-06,7.4146,7029.0,0.861921688363935,fdr_core_strong,strong (FDR-core)
ENSG00000164535,DAGLB,cad,-0.0956196689856533,1.58665630395119e-06,0.0002260292033774,2.104e-08,71.7034,7086.0,0.963521272162061,fdr_core_strong,strong (FDR-core)
ENSG00000145214,DGKQ,cad,-0.0512228404523847,0.0001923834188924,0.0095045182000275,8.678e-05,103.9015,5539.0,0.817999932892181,fdr_core_strong,strong (FDR-core)
ENSG00000079393,DUSP13,cad,0.73574005478701,2.01557987930418e-05,0.0016803752027858,1.866e-05,5.8325,3556.0,0.872879144250486,fdr_core_strong,strong (FDR-core)
ENSG00000119718,EIF2B2,cad,0.0757145472859295,1.50744224424936e-08,4.173339632051106e-06,3.601e-10,81.6263,4807.0,0.96092281304837,fdr_core_strong,strong (FDR-core)
ENSG00000215251,FASTKD5,cad,0.182714243586629,6.82067146936005e-05,0.0043702931209572,2.117e-05,20.221,6204.0,0.903698834280561,fdr_core_strong,strong (FDR-core)
ENSG00000130475,FCHO1,cad,-0.20005021329478,4.99805113605979e-13,7.232163166006713e-10,1.438e-13,30.6191,6048.0,0.953262705133287,fdr_core_strong,strong (FDR-core)
ENSG00000256269,HMBS,cad,0.111875813418936,1.14800597247256e-06,0.0001811257164955,2.875e-07,45.6633,4898.0,0.88614085752495,fdr_core_strong,strong (FDR-core)
ENSG00000198353,HOXC4,cad,-0.441811174830815,5.05033327997372e-11,3.2218930529154085e-08,9.28e-13,16.7208,4709.0,0.934922048754275,fdr_core_strong,strong (FDR-core)
ENSG00000187942,LDLRAD2,cad,1.46947683431988,7.45849536905671e-05,0.0046969314399214,2.942e-05,4.9155,5929.0,0.823262921141715,fdr_core_strong,strong (FDR-core)
ENSG00000107798,LIPA,cad,0.071002362638286,5.37019236017436e-08,1.2507433730291809e-05,2.4340000000000002e-21,136.7235,6418.0,0.998932758088505,fdr_core_strong,strong (FDR-core)
ENSG00000138131,LOXL4,cad,-0.653060411883109,4.84410412635905e-06,0.0005425766400463,1.675e-06,6.8836,4906.0,0.944391116585441,fdr_core_strong,strong (FDR-core)
ENSG00000132793,LPIN3,cad,0.89672651546477,3.70868010561491e-07,6.888286479707288e-05,1.115e-08,5.883,5371.0,0.95620440896145,fdr_core_strong,strong (FDR-core)
ENSG00000132128,LRRC41,cad,-1.44332837754754,0.0004411620505226,0.0175901379546687,1.755e-05,8.0737,4113.0,0.909483076324573,fdr_core_strong,strong (FDR-core)
ENSG00000264386,MIR4513,cad,0.278187455723926,7.68832631050691e-06,0.0007674204894834,7.557e-07,5.6736,3597.0,0.805495613841699,fdr_core_strong,strong (FDR-core)
ENSG00000119684,MLH3,cad,0.0980198765577763,1.50744224424934e-08,4.173339632051106e-06,3.601e-10,65.6163,4766.0,0.874624754952309,fdr_core_strong,strong (FDR-core)
ENSG00000109919,MTCH2,cad,-0.792206620498124,8.32337002311436e-06,0.000803479002297,1.897e-06,12.125,3637.0,0.902287924015749,fdr_core_strong,strong (FDR-core)
ENSG00000118513,MYB,cad,0.714536481921476,0.0004520115222113,0.0178289383478666,1.983e-05,5.669,4709.0,0.812564047232375,fdr_core_strong,strong (FDR-core)
ENSG00000264508,Metazoa_SRP,cad,-0.269965922271166,2.74225890225609e-07,5.437454712541028e-05,1.856e-08,7.9821,3013.0,0.922588662476899,fdr_core_strong,strong (FDR-core)
ENSG00000264584,Metazoa_SRP,cad,-0.342684141578196,2.49741946478708e-07,5.019813124222031e-05,1.856e-08,6.0501,3019.0,0.921372794106571,fdr_core_strong,strong (FDR-core)
ENSG00000244754,N4BP2L2,cad,-0.117451024645651,1.17709270278885e-09,4.667967899465081e-07,1.189e-10,44.3887,5256.0,0.923656725402997,fdr_core_strong,strong (FDR-core)
ENSG00000180530,NRIP1,cad,-0.288054348235765,6.93460843452151e-08,1.5654078393805248e-05,8.818e-08,18.6594,5986.0,0.998005335164654,fdr_core_strong,strong (FDR-core)
ENSG00000161395,PGAP3,cad,0.104462734025669,4.13150138250935e-05,0.0029285758350511,5.366e-06,43.2185,4082.0,0.890020029782919,fdr_core_strong,strong (FDR-core)
