"gene","outcome","nsnp","b","se","pval","method","ok","note"
"GLP1R","ebi-a-GCST006867",3,-0.389106652605221,0.183661676545924,0.0341238138413038,"Inverse variance weighted (multiplicative random effects)",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST006867",3,-0.389106652605221,0.125859783068019,0.00199088654472144,"Inverse variance weighted (fixed effects)",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST006867",3,-0.296507279824606,0.156876473317355,0.058748800002391,"Weighted median",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST006867",3,0.667940124546437,0.527446132051979,0.425519634188876,"MR Egger",TRUE,"clump 3→harmonise 3"
"SLC5A2","ebi-a-GCST006867",1,-0.210948033536873,0.254293519880066,0.406795827115667,"Wald ratio",TRUE,"clump 1→harmonise 1"
"PPARG","ebi-a-GCST006867",5,0.143163139553524,0.066259371955332,0.0307225871781693,"Inverse variance weighted (multiplicative random effects)",TRUE,"clump 8→harmonise 5"
"PPARG","ebi-a-GCST006867",5,0.143163139553524,0.0395563879498769,0.000295496123889354,"Inverse variance weighted (fixed effects)",TRUE,"clump 8→harmonise 5"
"PPARG","ebi-a-GCST006867",5,0.133840994618119,0.0439707398611448,0.00233559949336473,"Weighted median",TRUE,"clump 8→harmonise 5"
"PPARG","ebi-a-GCST006867",5,-0.02368306104486,0.0678418488620356,0.750085447426603,"MR Egger",TRUE,"clump 8→harmonise 5"
"KCNJ11","ebi-a-GCST006867",1,0.595181300858269,0.0731249187679678,3.9776513897556e-16,"Wald ratio",TRUE,"clump 1→harmonise 1"
"DPP4","ebi-a-GCST006867",1,-0.26671434490324,0.0896425806521262,0.00292693897555515,"Wald ratio",TRUE,"clump 3→harmonise 1"
"INSR","ebi-a-GCST006867",1,-0.938194693342682,0.292259294991626,0.00132668063514794,"Wald ratio",TRUE,"clump 4→harmonise 1"
"TCF7L2","ebi-a-GCST006867",2,-0.0954434922766839,0.154765688637654,0.537434786261441,"Inverse variance weighted (multiplicative random effects)",TRUE,"clump 5→harmonise 2"
"TCF7L2","ebi-a-GCST006867",2,-0.0954434922766839,0.0562123492795183,0.089524808988184,"Inverse variance weighted (fixed effects)",TRUE,"clump 5→harmonise 2"
"PRKAA1","ebi-a-GCST006867",1,-0.426358614539944,0.146130976757642,0.0035268329877163,"Wald ratio",TRUE,"clump 2→harmonise 1"
"GLP1R","ebi-a-GCST005194",3,-0.0874851121174006,0.108864510950531,0.421619579562362,"Inverse variance weighted (multiplicative random effects)",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST005194",3,-0.0874851121174006,0.0912002354588246,0.337425714075342,"Inverse variance weighted (fixed effects)",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST005194",3,-0.0915694971959533,0.107847707374471,0.395846241328991,"Weighted median",TRUE,"clump 3→harmonise 3"
"GLP1R","ebi-a-GCST005194",3,-0.661830070597794,0.378722928929366,0.330885996158892,"MR Egger",TRUE,"clump 3→harmonise 3"
"SLC5A2","ebi-a-GCST005194",1,0.014448495447731,0.182051042641411,0.936742243627213,"Wald ratio",TRUE,"clump 1→harmonise 1"
