"gene","outcome","mr_nsnp","mr_b","mr_pval","n_pqtl_cis","n_gwas_region","n_coloc","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","PP.H4_p12e6","top_snp","tier","ok","note"
"ANGPTL3","ebi-a-GCST006867",9,0.0028253111239537,0.903139491873802,8225,3600,3460,4.51965436192018e-140,0.909549041856569,4.31118472102067e-141,0.0867559024327391,0.0036950557107083,0.000370738480476351,"rs10889352","none",TRUE,""
"ANGPTL3","ebi-a-GCST005194",19,-0.010491217164168,0.451628080356502,8225,5797,5077,4.28094394421655e-140,0.921639063416364,3.50917590334074e-141,0.0755457936466654,0.00281514293698809,0.000282229358084425,"rs10889352","none",TRUE,""
"ANGPTL3","ebi-a-GCST005186",12,-0.00371344636094907,0.584353127980547,8225,1848,1728,8.16449813291586e-140,0.975185019913384,1.71966062889943e-141,0.0205357129937506,0.00427926709284895,0.000429581172602983,"rs10889352","none",TRUE,""
"APOC3","ebi-a-GCST006867",3,0.116394674429499,0.135176277589368,9028,4415,4185,1.25790788256646e-58,0.716458744332287,3.08931928177644e-59,0.175848738326165,0.107692517341556,0.0119250682959946,"rs964184","none",TRUE,""
"APOC3","ebi-a-GCST005194",10,0.151138570363701,0.0271451056260348,9028,6759,6059,5.17277806468209e-67,2.94691449779466e-09,6.33850133990877e-61,0.00261363681905163,0.997386360234025,0.974464273062733,"rs964184","strong",TRUE,""
"APOC3","ebi-a-GCST005186",3,0.0443380096656905,9.06249105748965e-46,9028,2261,2108,1.39649398617307e-58,0.7955118752979,4.82768959202661e-60,0.0273237374335369,0.177164387268565,0.0210771464969006,"rs964184","none",TRUE,""
"INSR","ebi-a-GCST006867",2,0.0781849329011676,0.284392347667525,12770,1764,1702,1.36221101145214e-10,0.880439473187598,1.79282177738927e-11,0.115871975933971,0.00368855072428223,0.000370083637470355,"rs4804368","none",TRUE,""
"INSR","ebi-a-GCST005194",2,-0.0502054144510189,0.0387224099838234,12770,7066,6413,1.07450062547025e-10,0.817941352337579,2.3447946591549e-11,0.178489068675658,0.00356957885586571,0.000358108351987799,"rs10404874","none",TRUE,""
"INSR","ebi-a-GCST005186",2,0.124682218044706,0,12770,1427,1346,5.4227283235455e-10,0.965067634704169,1.42092516150788e-11,0.0252781493198214,0.00965421541952593,0.000973883414199362,"rs4804368","none",TRUE,""
"PCK1","ebi-a-GCST006867",1,0.209745762711864,0.265983588922348,9519,4027,3859,0.109560673393102,0.728326151012987,0.0199976135272328,0.132928887167314,0.00918667489936515,0.00092632636317076,"rs2070756","none",TRUE,""
"PCK1","ebi-a-GCST005194",1,0.00211864406779661,0.987725337120244,9519,7344,6566,0.117218241357689,0.798859516637578,0.0102602163081825,0.0699211389409524,0.00374088675559769,0.000375352411337598,"rs2070756","none",TRUE,""
"PCK1","ebi-a-GCST005186",1,0.0699152542372881,0.345753978677278,9519,2579,2430,0.133731720042825,0.804212765376289,0.00743852651226671,0.044722634135487,0.0098943539331322,0.000998325399673545,"rs2070756","none",TRUE,""
"PCSK9","ebi-a-GCST006867",3,0.013332844720416,0.811239761875511,8739,3850,3745,2.12691303470618e-36,0.94290879094129,1.15934666265034e-37,0.0513907667438701,0.0057004423148341,0.000572983866815513,"rs287230","none",TRUE,""
"PCSK9","ebi-a-GCST005194",14,0.189688850233432,5.53611455275681e-12,8739,6695,5948,2.42461862582761e-123,4.14143580988652e-19,5.85453629452732e-108,8.91873242005546e-14,0.999999999999886,0.999999999999091,"rs11591147","strong",TRUE,""
"PCSK9","ebi-a-GCST005186",5,-0.00727095094836959,0.704948037938034,8739,2045,1938,1.48545682039485e-66,0.958785444608731,4.10015886101092e-68,0.0264496370255141,0.0147649183657555,0.0014963763234092,"rs693668","none",TRUE,""
