gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000000457,SCYL3,t2d,-0.01453573060144,0.797634069055974,0.0002453,24.4906,4911,0.00371639315667114,TRUE,""
ENSG00000000971,CFH,t2d,0.135354385516906,0.219503994929322,0.002636,12.7245,2812,0.00785288858318935,TRUE,""
ENSG00000001460,STPG1,t2d,0.0267257351924925,0.819764330638924,0.005098,10.75,1994,0.00439118116749351,TRUE,""
ENSG00000001461,NIPAL3,t2d,-0.0116431523825624,0.849721578471507,0.005098,27.4679,2010,0.00446367771114402,TRUE,""
ENSG00000004455,AK2,t2d,0.0809737547926482,0.465184169003017,0.0004059,14.2624,2206,0.00459215692804997,TRUE,""
ENSG00000004487,KDM1A,t2d,-0.0501470372022298,0.649436283726755,0.003197,9.5573,1808,0.00637100377916002,TRUE,""
ENSG00000007341,ST7L,t2d,-0.000282359977941637,0.989770990975819,1.834e-06,63.3267,2014,0.00376709706235393,TRUE,""
ENSG00000007923,DNAJC11,t2d,0.829270338676671,0.0102162980181301,2.626e-06,5.1998,2726,0.102331944933985,TRUE,""
ENSG00000009790,TRAF3IP3,t2d,0.0412381990406537,0.265311770602781,7.866e-06,37.9842,3651,0.00516636806075739,TRUE,""
ENSG00000010072,SPRTN,t2d,-0.00429414453836212,0.952534901838573,0.0001878,20.3849,3925,0.00386467584091153,TRUE,""
ENSG00000010165,METTL13,t2d,-0.0232798968448238,0.544474508963011,1.024e-06,56.2067,4117,0.000885380065461289,TRUE,""
ENSG00000010803,SCMH1,t2d,-0.087810737189799,0.273412340113948,2.469e-05,18.6492,2916,0.00726940713038896,TRUE,""
ENSG00000011007,TCEB3,t2d,0.0329160137986378,0.234096147818447,0.003197,59.1265,2097,0.00677291788886364,TRUE,""
ENSG00000011021,CLCN6,t2d,-0.0376307999196521,0.435669009897557,0.000302,48.9053,2385,0.0083408790827144,TRUE,""
ENSG00000014914,MTMR11,t2d,-0.491316218894006,0.00108821730493428,9.493e-06,17.2695,1313,0.43967543603201,TRUE,""
ENSG00000023572,GLRX2,t2d,-0.246765995803008,0.395158649411462,0.0004362,10.1756,3278,0.0100306898032772,TRUE,""
ENSG00000023902,PLEKHO1,t2d,-0.100308887900398,0.451301649189636,9.493e-06,18.5847,1585,0.00506819819616242,TRUE,""
ENSG00000023909,GCLM,t2d,-0.128101841819968,0.321897528219502,0.004776,14.476,2827,0.00812894165496008,TRUE,""
ENSG00000025800,KPNA6,t2d,0.148737919979213,0.483927304446146,0.0004059,13.3581,1196,0.010073826471005,TRUE,""
ENSG00000026751,SLAMF7,t2d,-0.00334421455578779,0.96061430195002,0.001063,21.2905,2815,0.00389112506041519,TRUE,""
ENSG00000027869,SH2D2A,t2d,-0.792266971486082,0.0734450300566185,0.0001772,7.2028,3200,0.0337029889335807,TRUE,""
ENSG00000028137,TNFRSF1B,t2d,-0.0201153974787137,0.819443443126355,0.000302,18.4831,2010,0.00441122370147138,TRUE,""
ENSG00000033122,LRRC7,t2d,0.0685725902287985,0.0116273782174413,0.0007434,44.7475,2817,0.00964562231741881,TRUE,""
ENSG00000036549,ZZZ3,t2d,0.0578533326548318,0.557232907570128,0.006084,16.6021,2705,0.00514251184905918,TRUE,""
ENSG00000037637,FBXO42,t2d,-0.0971350407978667,0.514288986716092,1.861e-05,10.9266,2103,0.00456284539196963,TRUE,""
ENSG00000040487,PQLC2,t2d,0.18714456052533,0.0384741276674827,2.273e-06,16.7821,3519,0.0345352934799853,TRUE,""
ENSG00000041988,THAP3,t2d,0.0544522845642258,0.604096542957154,2.626e-06,7.3579,2710,0.00315355146185813,TRUE,""
ENSG00000043514,TRIT1,t2d,0.0247232656232876,0.416926657643495,7.658e-14,47.0764,2311,4.6255521260559e-10,TRUE,""
ENSG00000047410,TPR,t2d,-0.0485742291510949,0.517231374479475,0.0008961,24.8733,3245,0.00587654008713713,TRUE,""
ENSG00000049239,H6PD,t2d,-0.0212772060800073,0.553453837615598,6.783e-05,48.6706,1961,0.00348834185280546,TRUE,""
ENSG00000049245,VAMP3,t2d,-0.006683845790122,0.90254345021781,0.001508,31.8996,3038,0.00470303425670426,TRUE,""
ENSG00000049247,UTS2,t2d,-0.0351107740560611,0.707343209539414,0.002626,51.1912,2996,0.0139789052893547,TRUE,""
ENSG00000052723,SIKE1,t2d,-0.116903128788061,0.605764292132078,0.0007969,7.3085,2761,0.00502854474178676,TRUE,""
ENSG00000053372,MRTO4,t2d,0.194560728999735,0.00507557433168227,2.273e-06,23.2871,3452,0.156248545749783,TRUE,""
ENSG00000054267,ARID4B,t2d,0.158546062306753,0.469870928673033,1.456e-05,9.6377,3037,0.00394702729508929,TRUE,""
ENSG00000054277,OPN3,t2d,0.0403533599271057,0.202730929104639,0.000949,42.2844,3544,0.0181233471437435,TRUE,""
ENSG00000054282,SDCCAG8,t2d,0.0128196430308458,0.572273832532262,0.002851,47.5294,2268,0.00604429575531472,TRUE,""
ENSG00000054523,KIF1B,t2d,-0.00645910322485028,0.851268623688206,6.783e-05,89.9543,1995,0.00763116780186455,TRUE,""
ENSG00000055732,MCOLN3,t2d,0.111868239778788,0.162910671655886,7.252e-05,19.0293,3463,0.00833673548460566,TRUE,""
ENSG00000057252,SOAT1,t2d,-0.185395757424733,0.00233860337168983,0.0001351,44.9667,4357,0.00498632246218753,TRUE,""
ENSG00000057757,PITHD1,t2d,-0.122992856598424,0.737086332003022,0.003197,6.0392,2073,0.00709188167358736,TRUE,""
