"gene","outcome","outid","nsnp","b","se","pval","method","ok","note","calib"
"PCSK9","LDL-C","ieu-b-110",14,0.28354338484984,0.0362452773176164,5.16177913126981e-15,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"PCSK9","LDL-C","ieu-b-110",14,0.28354338484984,0.00612964530096195,0,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"PCSK9","LDL-C","ieu-b-110",14,0.178144480712717,0.03185433062127,2.23858104386962e-08,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"PCSK9","LDL-C","ieu-b-110",14,0.371566500999551,0.0501711966869022,8.20808910290074e-06,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"PCSK9","HDL-C","ieu-b-109",14,0.00740892636517888,0.00720153886317156,0.303574764323347,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14",""
"PCSK9","HDL-C","ieu-b-109",14,0.00740892636517888,0.00560806346004644,0.186461262227531,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14",""
"PCSK9","HDL-C","ieu-b-109",14,0.00178413480803764,0.00769731747667591,0.816703789428615,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14",""
"PCSK9","HDL-C","ieu-b-109",14,0.00466980710825732,0.0118618756390854,0.700721324481057,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14",""
"PCSK9","Triglycerides","ieu-b-111",14,-0.00118482825894313,0.00674998985925076,0.860662904577334,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✗ (蛋白up→结局 Triglycerides，与已知 up 相反)"
"PCSK9","Triglycerides","ieu-b-111",14,-0.00118482825894313,0.00584655677269117,0.839405460636592,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✗ (蛋白up→结局 Triglycerides，与已知 up 相反)"
"PCSK9","Triglycerides","ieu-b-111",14,0.00388191717876524,0.00784905512954869,0.620902785062539,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 Triglycerides，符合已知)"
"PCSK9","Triglycerides","ieu-b-111",14,0.00157613121993064,0.0111073352409941,0.889513477837057,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 Triglycerides，符合已知)"
"PCSK9","apoB","ieu-b-108",14,0.280738262316537,0.0354440643098134,2.36366837809901e-15,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 apoB，符合已知)"
"PCSK9","apoB","ieu-b-108",14,0.280738262316537,0.00610465906080269,0,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 apoB，符合已知)"
"PCSK9","apoB","ieu-b-108",14,0.188945054002229,0.0296206448041854,1.78446128513153e-10,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 apoB，符合已知)"
"PCSK9","apoB","ieu-b-108",14,0.371275005907985,0.0479546831535696,5.24938693814094e-06,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14","方向 ✓ (蛋白up→结局 apoB，符合已知)"
"HMGCR","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"HMGCR","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"HMGCR","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"HMGCR","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"ANGPTL3","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"
Status code from OpenGWAS API: 401

Message: {""message"":""Unknown error.""}",""
"ANGPTL3","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"
Status code from OpenGWAS API: 401

Message: {""message"":""Unknown error.""}",""
