gene,symbol,outcome,stage2_b,stage2_pval,stage2_q,n_eqtl_cis,n_gwas_region,n_coloc,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,PP.H4_p12e6,top_snp,tier,ok,note,gtex_tissue,gtex_pval,concordant
ENSG00000054356,PTPRN,cad,-0.140634699597119,0.0207619160106265,0.0263657959957956,7364,4756,4592,2.4507557623042203e-245,0.0473096636079005,4.815062441674259e-246,0.0083507108184764,0.944339625573639,0.629164060783947,rs11887718,strong,True,,no_cover,,
ENSG00000056586,RC3H2,t2d,0.59959902527361,4.76903814203762e-05,0.0001354683298317,7341,3194,3188,8.66131268420741e-43,0.0320702010182095,4.0870777696310697e-42,0.150514617765842,0.817415181215947,0.309244697590513,rs3824535,strong,True,,no_cover,,
ENSG00000064999,ANKS1A,t2d,-0.455401086492398,0.0005204004162627,0.0010149102645523,7979,3181,3168,4.49280400973705e-62,0.0162419175621148,2.52049557836343e-61,0.0902248001921972,0.8935332822457,0.456303274661712,rs6905468,strong,True,,no_cover,,
ENSG00000073614,KDM5A,t2d,-0.158431147892955,1.1720883618302e-05,4.37579655083275e-05,5977,2000,1998,0.0,0.127542804695101,0.0,0.0557169696106074,0.816740225694258,0.308280874440185,rs579526,strong,True,,no_cover,,
ENSG00000079393,DUSP13,cad,0.73574005478701,2.01557987930418e-05,7.51261591377013e-05,5795,3653,3556,2.10312837442265e-05,0.0605896927817341,2.33811960196852e-05,0.066486750488017,0.872879144250486,0.407109813437119,rs2657291,strong,True,,no_cover,,
ENSG00000085721,RRN3,t2d,0.20621936113431,0.0159615082742796,0.0198096105255004,5769,1934,1929,3.3572987328519296e-134,0.0719343020263956,2.41944747894614e-135,0.0042601616806984,0.923805536292926,0.548008566684304,rs2280018,strong,True,,no_cover,,
ENSG00000090612,ZNF268,cad,0.230801330583725,4.8945496450067e-05,0.0001605412283562,4950,2389,2320,1.8401620272038401e-68,0.0698353422521914,1.6751882685584002e-68,0.0627070234941236,0.867457634253687,0.395578929662236,rs62644541,strong,True,,no_cover,,
ENSG00000100296,THOC5,cad,-0.251821051374723,2.7791475009110504e-09,2.41701615988324e-08,7494,5053,4877,4.4428983645884095e-114,0.0026693786856575,1.2572108237174802e-112,0.0746129236971512,0.9227176976172,0.544202616868262,rs11704049,strong,True,,no_cover,,
ENSG00000104497,SNX16,cad,0.0420673529026285,0.0002404241146561,0.0005825644211018,8340,5806,5603,0.0,0.0886433104035245,0.0,0.0375456480104542,0.87381104158605,0.409144910602284,rs12676438,strong,True,,no_cover,,
ENSG00000105767,CADM4,cad,0.538134295110589,6.952565620811961e-10,6.436730107009781e-09,10226,5648,5432,6.04638680650429e-26,0.0029751948175139,4.74700199110589e-26,0.0013401327627919,0.995684672419698,0.95846005060088,rs4760,strong,True,,no_cover,,
ENSG00000107779,BMPR1A,cad,-0.22037680189226,4.38482803817187e-05,0.0001454850458907,6834,5121,4912,1.4745445049895802e-25,0.0776326060862799,2.56711083404267e-26,0.0126057004363324,0.909761693477387,0.502035882678751,rs58477734,strong,True,,no_cover,,
ENSG00000107798,LIPA,cad,0.0981580384114743,1.43034677895084e-12,1.86595238890405e-11,8885,6635,6418,0.0,1.1325732052746201e-17,0.0,0.001067241911028,0.998932758088505,0.989429116102359,rs1412444,strong,True,,no_cover,,
ENSG00000108219,TSPAN14,cad,-0.248658910671568,1.49722587295194e-08,1.11611383256417e-07,10139,6926,6704,4.83624195163849e-141,6.08988179663236e-08,4.04320876330406e-136,0.0040953757517905,0.995904563349378,0.960501505723853,rs12260962,strong,True,,no_cover,,
ENSG00000108262,GIT1,t2d,0.0929845885142927,0.0116434155732056,0.0146759450311788,4915,1918,1917,0.0,0.0943398834168462,0.0,0.0119933206981658,0.893666795884946,0.456651674478731,rs894606,strong,True,,no_cover,,
ENSG00000108551,RASD1,cad,-0.320382183971476,5.7885126511033304e-46,3.02055114703028e-44,7484,4268,4152,3.33037340482729e-64,7.85918070932372e-06,6.349226714261771e-61,0.0139972258973511,0.98599491492195,0.875625969168996,rs12449964,strong,True,,no_cover,,
ENSG00000109670,FBXW7,t2d,-0.770102372650013,9.43880609044675e-08,5.78126873039864e-07,7547,3388,3383,3.29107589143378e-25,1.16821459723471e-05,2.14955936309046e-21,0.0753770818401317,0.924611236013898,0.55085603529638,rs9991574,strong,True,,no_cover,,
ENSG00000109919,MTCH2,cad,-0.650627559891025,0.0355641081832531,0.043712629758431,6588,3812,3637,1.70090135908242e-29,0.0071355771730777,2.1805719272737797e-28,0.0905764988111714,0.902287924015749,0.480091388193142,rs143001834,strong,True,,no_cover,,
ENSG00000111642,CHD4,t2d,-0.583297096214394,4.2493497694228805e-25,7.57156868006259e-24,7990,2528,2524,6.33820336578293e-38,0.0060192094205065,3.34338746049597e-37,0.0307879962054365,0.963192794374054,0.723517032629324,rs7969177,strong,True,,no_cover,,
ENSG00000111879,FAM184A,t2d,0.652171102661488,8.919715017614499e-57,2.18533017931555e-55,8546,4369,4352,7.1272497867730494e-12,0.0810438391394599,1.74356441066469e-12,0.0189260118524238,0.900030148999246,0.473767737688286,rs794249,strong,True,,no_cover,,
ENSG00000112282,MED23,t2d,-0.318602105507891,0.0015845017166253,0.0023090136539671,8609,4073,4064,1.81949933222368e-177,0.0002389221640691,1.3809460233246e-175,0.0171508733594964,0.982610204476408,0.849635340853145,rs2246012,strong,True,,no_cover,,
ENSG00000118513,MYB,cad,0.714536481921476,0.0004520115222113,0.0009747643887872,7417,4858,4709,0.0002724888372139,0.157128601217962,5.34022950275719e-05,0.0299814604174208,0.812564047232375,0.302414275873108,rs9376092,strong,True,,no_cover,,
ENSG00000118520,ARG1,t2d,-0.132264785539102,2.05786784803444e-05,6.66681154073967e-05,8631,4023,4015,0.0,3.29221885016762e-05,0.0,0.0015002125179252,0.998466865293651,0.984877318901014,rs2246012,strong,True,,no_cover,,
ENSG00000118620,ZNF430,cad,-0.153618999576994,1.27516715421147e-07,8.41317179905037e-07,11522,7027,6834,9.022424457515531e-110,0.118580660833947,5.375086486741981e-110,0.0698325411344077,0.811586798031648,0.301065078708589,rs35717293,strong,True,,no_cover,,
