"gene","outcome","nsnp","b","se","pval","method","ok","note"
"GLP1R","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"ABCC8","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"KCNJ11","ebi-a-GCST006867",1,-0.0136656109106237,0.0840960671423,0.870912128275923,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"PDX1","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"GCG","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"TCF7L2","ebi-a-GCST006867",1,-1.59814846741794,0.0402279934590328,0,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"INSR","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"SLC5A2","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"DPP4","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PPARG","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"G6PC","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PCK1","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"SLC5A1","ebi-a-GCST006867",1,0.112126178082479,0.0342672519295726,0.00106748471454352,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"PCSK9","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"HMGCR","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"ANGPTL3","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"APOC3","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"CETP","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"NPC1L1","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"GLP1R","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"ABCC8","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"KCNJ11","ebi-a-GCST005194",1,0.071481657070955,0.0609696486781675,0.241030964418943,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"PDX1","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"GCG","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"TCF7L2","ebi-a-GCST005194",1,-0.132177692793965,0.0292567225156602,6.24686056488434e-06,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"INSR","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"SLC5A2","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"DPP4","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PPARG","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"G6PC","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PCK1","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"SLC5A1","ebi-a-GCST005194",1,0.0261083824225315,0.0249428296358114,0.295224597512448,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"PCSK9","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"HMGCR","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"ANGPTL3","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"APOC3","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"CETP","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"NPC1L1","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"GLP1R","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"ABCC8","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"KCNJ11","ebi-a-GCST005186",1,-0.0399456318925925,0.0357408285354775,0.263717761833697,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"PDX1","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"GCG","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"TCF7L2","ebi-a-GCST005186",1,-0.109712709433726,0.0182854515722876,1.97317529007539e-09,"Wald ratio",TRUE,"palindromic 排除 0; harmonise 1"
"INSR","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"SLC5A2","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"DPP4","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PPARG","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"G6PC","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
"PCK1","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"胰岛无独立 eQTL"
