gene,symbol,outcome,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,chr_hg19,pos_hg19,chr_hg38,pos_hg38,offset,n_cis_snp,catalog_gene_t2dcad,catalog_gene_any,cat_pos_100kb,cat_pos_250kb,nearest_cat_kb,tier,top_snp,gene_anno_broad,cat_pos_100kb_broad,cat_pos_250kb_broad,nearest_cat_kb_broad,tier_broad
ENSG00000011422,PLAUR,cad,2.00478689359048e-06,1.808e-06,11.5325,5819,0.99567426748846,19,44162473,19,43658321,-504152,419,False,True,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000070915,SLC12A3,cad,1.97317529007541e-09,1.194e-09,8.363,6424,0.993721390369186,16,56924440,16,56890528,-33912,231,False,False,True,True,62.6,known_locus_100kb_novel_gene,,False,True,True,62.6,known_locus_100kb_novel_gene
ENSG00000135974,C2orf49,t2d,1.90172751687517e-07,1.219e-07,7.2014,4423,0.980172561304731,2,105959742,2,105343285,-616457,138,False,False,False,True,122.1,known_locus_250kb_novel_gene,,False,False,True,122.1,known_locus_250kb_novel_gene
ENSG00000095485,CWF19L1,t2d,0.000315093663539702,1.232e-09,86.5516,3228,0.960013578606752,10,102009746,10,100249989,-1759757,2143,False,False,True,True,1.5,known_locus_100kb_novel_gene,,False,True,True,1.5,known_locus_100kb_novel_gene
ENSG00000252118,U6atac,t2d,1.70637513329084e-11,1.966e-17,4.843,4152,0.957066021312353,10,12498556,10,12456557,-41999,12,False,False,True,True,25.1,known_locus_100kb_novel_gene,,False,True,True,25.1,known_locus_100kb_novel_gene
ENSG00000134256,CD101,t2d,0.000116365855459249,2.471e-08,58.4668,2916,0.94884375983226,1,117561774,1,117019152,-542622,1302,False,False,True,True,12.9,known_locus_100kb_novel_gene,,False,True,True,12.9,known_locus_100kb_novel_gene
ENSG00000158710,TAGLN2,cad,2.62947160278819e-05,2.348e-05,31.0058,5466,0.946476746550235,1,159891709,1,159921919,30210,166,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000213085,CCDC19,cad,2.6294716027882e-05,2.348e-05,17.9384,5507,0.946245942458657,1,159856053,1,159886263,30210,78,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000004534,RBM6,t2d,1.02183794615947e-05,9.597e-07,101.8767,1689,0.944783239528696,3,50057459,3,50020026,-37433,3001,False,False,True,True,61.9,known_locus_100kb_novel_gene,,False,True,True,61.9,known_locus_100kb_novel_gene
ENSG00000148842,CNNM2,cad,9.85010679950938e-15,4.67e-15,6.1715,4329,0.936554980592514,10,104758209,10,102998452,-1759757,316,False,False,True,True,11.2,known_locus_100kb_novel_gene,,False,True,True,11.2,known_locus_100kb_novel_gene
ENSG00000244754,N4BP2L2,cad,1.17709270278885e-09,1.189e-10,44.3887,5256,0.923656725402997,13,33059762,13,32485625,-574137,886,False,False,True,True,1.4,known_locus_100kb_novel_gene,,False,True,True,1.4,known_locus_100kb_novel_gene
ENSG00000243284,VSIG8,cad,2.62947160278819e-05,2.348e-05,10.9416,5560,0.916242256890915,1,159828276,1,159858486,30210,147,False,False,False,False,,no_catalog_t2dcad,,False,False,False,,no_catalog_t2dcad
ENSG00000135862,LAMC1,cad,0.00473453755481674,1.294e-05,80.4451,5557,0.913924786575666,1,183053661,1,183084526,30865,2028,False,False,True,True,49.3,known_locus_100kb_novel_gene,,False,True,True,49.3,known_locus_100kb_novel_gene
