"Gene","n_eqtl_fdr","n_iv_p5e6","n_iv_eaf","transcript_available","note"
"GLP1R",235,216,216,TRUE,"GLP-1RA 靶点（受体激动剂）"
"SLC5A2",34,26,26,TRUE,"SGLT2i 靶点"
"PPARG",1511,1450,1450,TRUE,"TZD 靶点（核受体）"
"KCNJ11",467,435,435,TRUE,"磺脲类靶点 Kir6.2"
"ABCC8",0,0,0,FALSE,"磺脲类靶点 SUR1"
"DPP4",216,209,209,TRUE,"DPP4i 靶点"
"INSR",169,146,146,TRUE,"胰岛素/增敏靶点"
"TCF7L2",285,225,225,TRUE,"T2D 最强易感基因"
"PRKAA1",384,367,367,TRUE,"AMPKα1（二甲双胍通路）"
"GCG",0,0,0,FALSE,"胰高血糖素受体"
"PDX1",0,0,0,FALSE,"β细胞转录因子"
"SLC5A1",0,0,0,FALSE,"SGLT1"
"G6PC",0,0,0,FALSE,"糖异生 G6Pase"
"PCK1",0,0,0,FALSE,"糖异生 PEPCK"
