"gene","outcome","nsnp","b","se","pval","method","ok","note"
"DPP4","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具（变异不在 LD 参考面板或全被 LD 吸收）"
"DPP4","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具（变异不在 LD 参考面板或全被 LD 吸收）"
"DPP4","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具（变异不在 LD 参考面板或全被 LD 吸收）"
"INSR","ebi-a-GCST006867",2,0.0781849329011676,0.073035604382443,0.284392347667525,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"INSR","ebi-a-GCST006867",2,0.0781849329011676,0.0834831082308253,0.348997306855266,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"INSR","ebi-a-GCST005194",2,-0.0502054144510189,0.0242875602426094,0.0387224099838234,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"INSR","ebi-a-GCST005194",2,-0.0502054144510189,0.0594810791644689,0.398637618375754,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"INSR","ebi-a-GCST005186",2,0.124682218044706,0.00311181195607355,0,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"INSR","ebi-a-GCST005186",2,0.124682218044706,0.0497023588189842,0.0121218380894486,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2"
"PCSK9","ebi-a-GCST006867",3,0.013332844720416,0.0558263797651599,0.811239761875511,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 3"
"PCSK9","ebi-a-GCST006867",3,0.013332844720416,0.0754971885129734,0.859822165101588,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 3"
"PCSK9","ebi-a-GCST006867",3,0.00477574459786606,0.0843795502862259,0.954865136884514,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 3"
"PCSK9","ebi-a-GCST006867",3,-0.168101285153587,0.198431326326871,0.552559615468319,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 3"
"PCSK9","ebi-a-GCST005194",14,0.189688850233432,0.0275266281498668,5.53611455275681e-12,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14"
"PCSK9","ebi-a-GCST005194",14,0.189688850233432,0.0179421933460337,4.00882290062937e-26,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14"
"PCSK9","ebi-a-GCST005194",14,0.170195635787951,0.0321828664912312,1.23395848298767e-07,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14"
"PCSK9","ebi-a-GCST005194",14,0.250333415174165,0.041920989994857,6.49447551771573e-05,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 14"
"PCSK9","ebi-a-GCST005186",5,-0.00727095094836959,0.0192023172477568,0.704948037938034,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 5"
