"gene","symbol","outcome","nsnp","b","se","pval","q","method","ok","note"
"ENSG00000004399","PLXND1","t2d",1,0.374216441396051,0.12014976044823,0.00184204915130004,0.0481294380814037,"Wald ratio",TRUE,"lead rs9866653 (cis p=2.3e-45)"
"ENSG00000004534","RBM6","t2d",1,-0.0577133415258059,0.0130795108273781,1.02183794615947e-05,0.00114423391993021,"Wald ratio",TRUE,"lead rs10049087 (cis p=3.3e-310)"
"ENSG00000005379","BZRAP1","t2d",1,0.431239915522591,0.132999226282668,0.00118517452977002,0.0352363064134448,"Wald ratio",TRUE,"lead rs12948345 (cis p=1.1e-39)"
"ENSG00000005801","ZNF195","t2d",1,-0.139415721783432,0.0403914707970691,0.000557246561917501,0.0208301322642722,"Wald ratio",TRUE,"lead rs10766972 (cis p=3.3e-310)"
"ENSG00000011405","PIK3C2A","t2d",1,-0.0845616279236602,0.0266335835980032,0.00149836501265408,0.0412657823755273,"Wald ratio",TRUE,"lead rs105290 (cis p=3.3e-310)"
"ENSG00000014914","MTMR11","t2d",1,-0.491316218894006,0.150402924151226,0.00108821730493428,0.0333994943340497,"Wald ratio",TRUE,"lead rs72692819 (cis p=8e-67)"
"ENSG00000029534","ANK1","t2d",1,0.454769988402351,0.0662856625162099,6.84953982367959e-12,7.75520120036611e-09,"Wald ratio",TRUE,"lead rs4736819 (cis p=1.6e-99)"
"ENSG00000033627","ATP6V0A1","t2d",1,0.997951198585809,0.198800304731474,5.1707119730832e-07,0.000107985378669456,"Wald ratio",TRUE,"lead rs3760387 (cis p=1.2e-41)"
"ENSG00000047932","GOPC","t2d",1,1.16367568603947,0.294224818345207,7.65166693032588e-05,0.00516360834569674,"Wald ratio",TRUE,"lead rs11153687 (cis p=2.8e-07)"
"ENSG00000050820","BCAR1","t2d",1,-0.822089171527314,0.114807560141939,8.03341208712611e-13,1.36434115279692e-09,"Wald ratio",TRUE,"lead rs28595463 (cis p=1.4e-97)"
"ENSG00000052749","RRP12","t2d",1,-0.133027967701296,0.0343425317211062,0.000107255567745996,0.00624906985660221,"Wald ratio",TRUE,"lead rs10082521 (cis p=3.3e-310)"
"ENSG00000055147","FAM114A2","t2d",1,0.356292620555285,0.102959084266926,0.000539120536841346,0.0203468084089382,"Wald ratio",TRUE,"lead rs478020 (cis p=2e-39)"
"ENSG00000055483","USP36","t2d",1,-0.0602550260867316,0.0185943244564523,0.00119317623411022,0.0352419299292264,"Wald ratio",TRUE,"lead rs1044486 (cis p=3.3e-310)"
"ENSG00000056586","RC3H2","t2d",1,0.59959902527361,0.147442383264002,4.76903814203762e-05,0.00344656018917471,"Wald ratio",TRUE,"lead rs3824535 (cis p=2.1e-47)"
"ENSG00000057294","PKP2","t2d",1,-0.255177501457679,0.0696675083344775,0.000249482380217794,0.0115618939481906,"Wald ratio",TRUE,"lead rs7954545 (cis p=5.4e-107)"
"ENSG00000061794","MRPS35","t2d",1,0.428659987219101,0.0860567398583802,6.32133762789451e-07,0.000121536661185368,"Wald ratio",TRUE,"lead rs1127787 (cis p=8.1e-88)"
"ENSG00000062524","LTK","t2d",1,-1.16009182473327,0.267974427350667,1.49710477422081e-05,0.00148111627663205,"Wald ratio",TRUE,"lead rs316623 (cis p=1.8e-07)"
"ENSG00000064651","SLC12A2","t2d",1,0.306423803388024,0.0822553572516525,0.000195102622214939,0.00969802790424501,"Wald ratio",TRUE,"lead rs17764730 (cis p=3.2e-86)"
"ENSG00000064995","TAF11","t2d",1,-0.696473563977414,0.210460858896602,0.000935367943739111,0.0303725222054051,"Wald ratio",TRUE,"lead rs2140418 (cis p=8e-16)"
"ENSG00000064999","ANKS1A","t2d",1,-0.540550528326217,0.131261791773288,3.81991970655781e-05,0.00286213101542824,"Wald ratio",TRUE,"lead rs3734262 (cis p=1.8e-66)"
"ENSG00000065559","MAP2K4","t2d",1,-0.331072811351872,0.106578233791356,0.00189391252849994,0.0491900023720257,"Wald ratio",TRUE,"lead rs12451415 (cis p=6.1e-26)"
"ENSG00000065665","SEC61A2","t2d",1,-0.113223622782446,0.025276221599751,7.48348965185439e-06,0.000918756139185497,"Wald ratio",TRUE,"lead rs10466280 (cis p=3.3e-310)"
"ENSG00000069248","NUP133","t2d",1,-0.167072968733533,0.0527598848632209,0.00154196956893995,0.0421251203954372,"Wald ratio",TRUE,"lead rs34804247 (cis p=2.7e-229)"
"ENSG00000070081","NUCB2","t2d",1,-0.087328103962205,0.0262316357909285,0.000871227596709624,0.0292033197712864,"Wald ratio",TRUE,"lead rs214081 (cis p=3.3e-283)"
"ENSG00000072110","ACTN1","t2d",1,0.39738383438838,0.107401036321184,0.000215599466954777,0.0105623008089864,"Wald ratio",TRUE,"lead rs1275193 (cis p=1e-39)"
"ENSG00000072310","SREBF1","t2d",1,-0.142175820834761,0.0371491660890828,0.000129629998252166,0.00710177248489016,"Wald ratio",TRUE,"lead rs10048206 (cis p=3.3e-310)"
"ENSG00000073614","KDM5A","t2d",1,-0.143784561181357,0.0424209109075434,0.000700269298877542,0.0247768894290353,"Wald ratio",TRUE,"lead rs1011699 (cis p=3.3e-310)"
"ENSG00000073711","PPP2R3A","t2d",1,0.390660621440028,0.1165360497855,0.000801510192366945,0.0273156818067531,"Wald ratio",TRUE,"lead rs12695644 (cis p=9e-41)"
"ENSG00000073803","MAP3K13","t2d",1,-0.530408168770641,0.102342206961311,2.18705675941223e-07,5.57152709460266e-05,"Wald ratio",TRUE,"lead rs7431357 (cis p=1e-61)"
"ENSG00000073849","ST6GAL1","t2d",1,0.205772364031345,0.0607649934052293,0.000708254658642105,0.024907019820435,"Wald ratio",TRUE,"lead rs9814673 (cis p=1.6e-146)"
"ENSG00000074755","ZZEF1","t2d",1,0.692475174840923,0.102588914791248,1.47845155560356e-11,1.4185833180258e-08,"Wald ratio",TRUE,"lead rs8066446 (cis p=6e-48)"
"ENSG00000075234","TTC38","t2d",1,-0.231434286671862,0.0511591581064115,6.07363888051616e-06,0.000756738798266259,"Wald ratio",TRUE,"lead rs10854854 (cis p=3.3e-310)"
"ENSG00000076201","PTPN23","t2d",1,-0.811836027267483,0.193871290093727,2.82044021003335e-05,0.0023177649790516,"Wald ratio",TRUE,"lead rs2276853 (cis p=3.5e-13)"
"ENSG00000079459","FDFT1","t2d",1,0.139993132620051,0.03564242333578,8.57582295124821e-05,0.00552360018639473,"Wald ratio",TRUE,"lead rs10089712 (cis p=3.3e-310)"
